Layer[0],Layer[8],Layer[9],Layer[10],classifier
0.417025,0.776386,0.001408,0.000384,1.200675
0.418721,0.768706,0.001504,0.000416,1.194019
0.417537,0.771299,0.001344,0.000384,1.196100
0.417185,0.783106,0.001440,0.000384,1.207267
0.417729,0.801538,0.001568,0.000448,1.226755
0.416641,0.769026,0.001344,0.000416,1.192323
0.416481,0.777667,0.001344,0.000384,1.201188
0.416545,0.782946,0.001344,0.000384,1.206659
0.417249,0.775522,0.001344,0.000384,1.199619
0.417217,0.773347,0.001472,0.000384,1.197380
0.415777,0.802754,0.001312,0.000448,1.226243
0.417761,0.772610,0.001312,0.000416,1.197155
0.415937,0.770786,0.001504,0.000416,1.193571
0.436577,0.770274,0.001568,0.000416,1.214916
0.415681,0.764642,0.001440,0.000448,1.187555
0.417025,0.771202,0.001376,0.000416,1.194979
0.417473,0.810370,0.001248,0.000512,1.234755
0.417698,0.769794,0.001376,0.000448,1.194276
0.417633,0.798882,0.001440,0.000480,1.223939
0.417409,0.771138,0.001376,0.000416,1.195459
0.417473,0.794754,0.001536,0.000384,1.219491
0.416322,0.793090,0.001696,0.000416,1.217572
0.416705,0.773187,0.001440,0.000416,1.196836
0.416321,0.777186,0.001312,0.000416,1.201699
0.432577,0.778946,0.001568,0.000416,1.220003
0.416897,0.811938,0.001376,0.000384,1.236067
0.417314,0.834594,0.001600,0.000480,1.259684
0.421186,0.770594,0.001472,0.000448,1.199396
0.417953,0.761762,0.001376,0.000320,1.186883
0.416673,0.791138,0.001536,0.000480,1.215171
0.416769,0.765826,0.001280,0.000608,1.189891
0.416898,0.766498,0.001312,0.000576,1.190948
0.416737,0.789314,0.001440,0.000416,1.212835
0.417665,0.784066,0.001312,0.000416,1.210659
0.417057,0.811682,0.001536,0.000384,1.235651
0.438081,0.788962,0.001504,0.000352,1.234403
0.416482,0.770626,0.001440,0.000416,1.193924
0.416545,0.767363,0.001408,0.000384,1.190756
0.417217,0.776962,0.001440,0.000416,1.200963
0.418689,0.778690,0.001536,0.000416,1.205123
0.417089,0.786402,0.001568,0.000416,1.211331
0.416930,0.767650,0.001184,0.000416,1.192292
0.416737,0.767619,0.001536,0.000416,1.191556
0.421217,0.803842,0.001504,0.000416,1.234147
0.416641,0.763042,0.001280,0.000416,1.186755
0.421409,0.771010,0.001440,0.000480,1.200003
0.436386,0.808738,0.001472,0.000384,1.252612
0.418018,0.766594,0.001440,0.000480,1.192516
0.417089,0.765730,0.001536,0.000416,1.190211
0.416769,0.763362,0.001408,0.000416,1.187299
0.416257,0.772386,0.001408,0.000672,1.195651
0.418050,0.779266,0.001408,0.000608,1.204260
0.415809,0.763779,0.001408,0.000448,1.186532
0.416161,0.780706,0.001440,0.000384,1.205123
0.416065,0.812514,0.001440,0.000640,1.236227
0.417889,0.777698,0.001376,0.000608,1.203075
0.416577,0.775586,0.001376,0.000448,1.199139
0.436578,0.773474,0.001408,0.000416,1.217476
0.417569,0.776835,0.001280,0.000384,1.200612
0.416737,0.798722,0.001536,0.000416,1.222851
0.416545,0.794690,0.001440,0.000416,1.218179
0.416897,0.774626,0.001536,0.000384,1.198691
0.417345,0.794114,0.001504,0.000608,1.218979
0.416897,0.811490,0.001472,0.000416,1.235907
