Layer[0],IN[1],INFER[1-3],OUT[3],TEE[1-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.396108,0.172773,0.541232,0.070914,0.789751,0.050594,0.000608,0.013600,0.000416,0.001536,0.001152,0.000416,1.262053
0.395883,0.169605,0.539344,0.067394,0.779959,0.050913,0.000672,0.014145,0.000352,0.001632,0.001728,0.000416,1.252869
0.395820,0.167365,0.550640,0.067362,0.789208,0.050401,0.000640,0.014017,0.000416,0.001536,0.001152,0.000416,1.260582
0.395276,0.169509,0.549072,0.067074,0.789527,0.050146,0.000704,0.013760,0.000384,0.001600,0.001248,0.000384,1.259525
0.395468,0.168453,0.557616,0.070050,0.800247,0.050658,0.000672,0.013888,0.000384,0.001568,0.001536,0.000416,1.271525
0.395883,0.168229,0.537712,0.065442,0.775735,0.050817,0.000608,0.013857,0.000416,0.001504,0.001408,0.000416,1.248037
0.396108,0.168965,0.539120,0.067810,0.779863,0.051522,0.000640,0.014048,0.000352,0.001504,0.001216,0.000576,1.253925
0.412396,0.169765,0.548528,0.068866,0.791159,0.050562,0.000640,0.013696,0.000352,0.001504,0.001249,0.000384,1.279014
0.395212,0.168389,0.539536,0.066114,0.777687,0.050145,0.000608,0.013569,0.000384,0.001440,0.001248,0.000384,1.247397
0.395372,0.169893,0.549488,0.075779,0.799000,0.049153,0.000576,0.028449,0.000416,0.001600,0.001120,0.000352,1.283462
0.396044,0.169093,0.538416,0.066818,0.778391,0.050786,0.000672,0.013632,0.000352,0.001472,0.001248,0.000416,1.250277
0.395052,0.196646,0.540240,0.068322,0.809016,0.052066,0.000704,0.013824,0.000384,0.001568,0.001120,0.000576,1.280902
0.394540,0.198246,0.553393,0.087074,0.843161,0.052610,0.000896,0.014016,0.000384,0.001536,0.001120,0.000352,1.315975
0.395180,0.191173,0.538448,0.066914,0.800631,0.050562,0.000672,0.013760,0.000416,0.001568,0.001184,0.000417,1.271494
0.396812,0.164741,0.542160,0.077730,0.790903,0.049634,0.000608,0.013952,0.000384,0.001632,0.001280,0.000577,1.262022
0.416813,0.183109,0.549521,0.069634,0.806360,0.051777,0.000640,0.014497,0.000416,0.001664,0.001312,0.000384,1.302503
0.395467,0.169061,0.539600,0.068002,0.780599,0.049698,0.000672,0.014048,0.000320,0.001568,0.001377,0.000416,1.251045
0.395436,0.151557,0.556080,0.074466,0.786775,0.051714,0.000640,0.013984,0.000416,0.001568,0.001441,0.000480,1.260614
0.395468,0.151556,0.538224,0.066338,0.759830,0.050210,0.000608,0.013632,0.000352,0.001504,0.001120,0.000576,1.230116
0.395563,0.155205,0.539184,0.068290,0.766519,0.050914,0.000576,0.013664,0.000384,0.001600,0.001504,0.000384,1.238628
0.395468,0.188486,0.546704,0.068386,0.807544,0.049665,0.000673,0.014080,0.000384,0.001632,0.001120,0.000384,1.276934
