Layer[0],Layer[1],IN[2],INFER[2-6],OUT[6],TEE[2-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.396555,0.017889,0.140292,0.587666,0.076162,0.808696,0.001024,0.003008,0.001440,0.000416,1.237124
0.441005,0.017985,0.152965,0.605777,0.075810,0.838361,0.001120,0.002848,0.001280,0.000448,1.309575
0.396268,0.017633,0.135492,0.583153,0.069890,0.791991,0.000704,0.002848,0.001312,0.000480,1.217380
0.396396,0.017857,0.137540,0.586833,0.088355,0.816216,0.000672,0.002912,0.001312,0.000448,1.242437
0.396332,0.017920,0.137252,0.585297,0.065954,0.792056,0.000800,0.002912,0.001344,0.000448,1.217892
0.396140,0.017889,0.134276,0.585137,0.065218,0.788151,0.000736,0.002976,0.001248,0.000416,1.213572
0.395436,0.017793,0.144484,0.602162,0.084898,0.835192,0.000769,0.002816,0.001248,0.000352,1.260230
0.395980,0.017632,0.135940,0.584785,0.065570,0.789559,0.000672,0.002656,0.001344,0.000512,1.215204
0.395852,0.018017,0.138564,0.585361,0.065698,0.793175,0.000736,0.002912,0.001152,0.000448,1.218500
0.415532,0.017728,0.142853,0.594321,0.067746,0.808536,0.000800,0.002848,0.001569,0.000352,1.254277
0.396332,0.018144,0.139204,0.587218,0.066978,0.797368,0.000768,0.002944,0.001216,0.000480,1.224196
0.396556,0.018081,0.135812,0.595537,0.068354,0.802999,0.000832,0.002913,0.001504,0.000384,1.229701
0.397068,0.017921,0.138212,0.588209,0.068066,0.798007,0.000768,0.003072,0.001408,0.000352,1.225540
0.396332,0.017856,0.141317,0.585969,0.068322,0.799576,0.000768,0.002880,0.001248,0.000416,1.225892
0.395916,0.017825,0.139076,0.613778,0.077410,0.834520,0.000736,0.002624,0.001568,0.000448,1.261126
0.396236,0.017696,0.136740,0.584754,0.066626,0.791928,0.000832,0.002880,0.001440,0.000384,1.218116
0.395755,0.017857,0.137156,0.595538,0.072642,0.808792,0.001056,0.002784,0.001376,0.000384,1.234308
0.417101,0.017760,0.145477,0.593681,0.068514,0.810968,0.000704,0.002880,0.001280,0.000352,1.257638
0.395372,0.017696,0.124420,0.582769,0.072706,0.783479,0.000736,0.002720,0.001248,0.000448,1.207716
0.396812,0.017632,0.137189,0.585009,0.066626,0.792280,0.000800,0.002848,0.001408,0.000448,1.218724
0.396364,0.018016,0.128772,0.595986,0.067970,0.796440,0.000704,0.003104,0.001280,0.000352,1.223780
0.396588,0.017824,0.138148,0.586674,0.067266,0.795960,0.000736,0.002912,0.001216,0.000448,1.222148
0.396364,0.017569,0.137988,0.605458,0.073666,0.821688,0.000832,0.002720,0.001376,0.000416,1.247685
0.395532,0.017664,0.139077,0.585425,0.074914,0.803192,0.000768,0.002752,0.001312,0.000416,1.228676
0.396620,0.017856,0.138980,0.584786,0.066242,0.793496,0.000768,0.002720,0.001376,0.000480,1.219620
0.417164,0.017856,0.143780,0.598194,0.066690,0.812216,0.001056,0.002784,0.001344,0.000480,1.259237
0.395852,0.018049,0.133668,0.585553,0.065698,0.788407,0.000704,0.002752,0.001280,0.000512,1.213700
0.395371,0.017633,0.136260,0.597874,0.065698,0.803576,0.001024,0.002944,0.001088,0.000416,1.228389
0.396108,0.017760,0.138468,0.584018,0.071170,0.796984,0.000704,0.002752,0.001344,0.000384,1.222020
0.396236,0.017664,0.141316,0.584081,0.067138,0.796119,0.000768,0.002624,0.001376,0.000384,1.221540
0.395883,0.017761,0.140612,0.602706,0.084419,0.831961,0.000768,0.002752,0.001440,0.000448,1.257893
0.396204,0.017664,0.135332,0.583858,0.066274,0.788920,0.000768,0.002688,0.001344,0.000352,1.214020
0.396908,0.017600,0.140037,0.585873,0.067010,0.796472,0.000704,0.002880,0.001184,0.000448,1.222788
0.396652,0.017825,0.144740,0.611890,0.071842,0.832472,0.000800,0.002657,0.001248,0.000480,1.258758
0.396363,0.018080,0.136068,0.593042,0.067970,0.800696,0.000736,0.002496,0.001344,0.000448,1.226852
0.395596,0.017729,0.133956,0.583985,0.077442,0.798775,0.000736,0.002496,0.001312,0.000352,1.223076
0.395724,0.017760,0.137796,0.590802,0.067426,0.801336,0.000768,0.002752,0.001248,0.000416,1.226852
0.396268,0.017665,0.133572,0.594289,0.067586,0.798967,0.000800,0.002720,0.001473,0.000352,1.224261
0.395756,0.017888,0.132900,0.599762,0.081346,0.817976,0.001120,0.003040,0.001344,0.000512,1.244229
0.395627,0.017793,0.117699,0.583986,0.064418,0.769879,0.000704,0.002784,0.001376,0.000416,1.194499
0.396588,0.017825,0.140836,0.584593,0.067010,0.796151,0.000736,0.002976,0.001312,0.000352,1.222916
0.395563,0.017665,0.136676,0.621842,0.091267,0.853849,0.000768,0.002720,0.001376,0.000448,1.279109
0.395756,0.017729,0.127332,0.607442,0.066818,0.805432,0.000704,0.002944,0.001280,0.000480,1.231205
0.396236,0.017888,0.136068,0.585457,0.065378,0.790584,0.000800,0.002944,0.001216,0.000352,1.216324
0.413804,0.017888,0.140804,0.594418,0.066530,0.805528,0.000704,0.002848,0.001344,0.000416,1.248933
