Layer[0],Layer[1],Layer[2],TEE[3-7],Layer[8],Layer[9],Layer[10],classifier
0.421905,0.017857,0.202440,0.270570,0.002465,0.000992,0.000352,0.924261
0.421616,0.017664,0.217481,0.284203,0.002560,0.000896,0.000352,0.952261
0.420657,0.017696,0.202376,0.273195,0.002432,0.000992,0.000640,0.925540
0.417392,0.017665,0.202440,0.247978,0.002464,0.000896,0.000416,0.896387
0.416880,0.017312,0.202952,0.265995,0.002368,0.001088,0.000608,0.914212
0.424528,0.017217,0.202440,0.243465,0.002304,0.000960,0.000416,0.897763
0.421712,0.017729,0.202568,0.246058,0.002176,0.000800,0.000640,0.897859
0.415505,0.017440,0.202472,0.238890,0.002336,0.000960,0.000288,0.883523
0.419121,0.017184,0.215721,0.259978,0.002400,0.000960,0.000352,0.921828
0.417232,0.017505,0.202056,0.247978,0.002368,0.000992,0.000288,0.896771
0.417808,0.017184,0.202280,0.241866,0.002400,0.000960,0.000608,0.891235
0.416880,0.017633,0.203112,0.247465,0.002337,0.000960,0.000416,0.894979
0.430801,0.017472,0.202471,0.253802,0.002433,0.001184,0.000512,0.915012
0.416496,0.021120,0.202152,0.250570,0.002208,0.000896,0.000352,0.899523
0.417872,0.017665,0.202472,0.260874,0.002400,0.000960,0.000256,0.908163
0.416624,0.017633,0.201896,0.257546,0.002368,0.000832,0.000384,0.903043
0.418544,0.017697,0.202856,0.266410,0.003200,0.000928,0.000384,0.915972
0.417360,0.017377,0.202248,0.247593,0.002272,0.000832,0.000416,0.893795
0.417744,0.020961,0.202184,0.240585,0.002625,0.000960,0.000416,0.891459
0.431377,0.017760,0.202344,0.248906,0.002528,0.000800,0.000352,0.910499
0.416752,0.017313,0.202248,0.249833,0.003393,0.000960,0.000640,0.898115
0.419408,0.017665,0.201864,0.259242,0.002496,0.001056,0.000384,0.909123
0.416528,0.017473,0.202472,0.317516,0.002976,0.001088,0.000352,0.965670
0.416272,0.017473,0.202408,0.255466,0.002272,0.001056,0.000416,0.902339
0.417872,0.018049,0.202888,0.261194,0.002496,0.001056,0.000352,0.911107
0.417233,0.017632,0.202792,0.257642,0.002369,0.001088,0.000416,0.906404
0.436529,0.017537,0.202696,0.268554,0.002240,0.000992,0.000352,0.935972
0.418001,0.017504,0.202568,0.245034,0.002304,0.001184,0.000384,0.894211
0.416432,0.017537,0.203080,0.253994,0.002336,0.001024,0.000384,0.902499
0.417136,0.017472,0.202984,0.285739,0.003232,0.001024,0.000384,0.934981
0.416848,0.017473,0.202600,0.255242,0.002528,0.001088,0.000352,0.904291
0.416848,0.017569,0.202952,0.253226,0.002464,0.000960,0.000352,0.901923
0.417744,0.017505,0.203048,0.251722,0.002368,0.001088,0.000384,0.900803
0.432977,0.017888,0.202216,0.247178,0.002528,0.000992,0.000384,0.911619
0.418481,0.017505,0.202439,0.252970,0.002273,0.001376,0.000384,0.902372
0.418001,0.017760,0.203176,0.246986,0.002656,0.001088,0.000448,0.897347
0.417616,0.017728,0.202824,0.275147,0.002304,0.001248,0.000448,0.924356
0.415761,0.017472,0.203144,0.257034,0.002208,0.001056,0.000448,0.903364
0.420784,0.017409,0.202888,0.254026,0.002496,0.001056,0.000384,0.906659
0.418065,0.017632,0.202824,0.262795,0.002336,0.001024,0.000384,0.911620
0.433553,0.017569,0.203080,0.256938,0.002432,0.001024,0.000384,0.922980
0.421553,0.017825,0.203080,0.263082,0.002304,0.000992,0.000416,0.916068
0.417776,0.017953,0.203240,0.265515,0.002944,0.001248,0.000352,0.915492
0.415729,0.017408,0.225769,0.263883,0.002272,0.000960,0.000448,0.933509
0.415760,0.017473,0.202568,0.249417,0.002433,0.001120,0.000352,0.895875
0.416336,0.017441,0.203048,0.262762,0.002272,0.001024,0.000384,0.910403
0.420816,0.017729,0.203144,0.256426,0.002560,0.000992,0.000352,0.909635
0.415536,0.017537,0.202440,0.263658,0.002208,0.000960,0.000608,0.909123
0.422513,0.017473,0.202952,0.254057,0.002496,0.001024,0.000416,0.908644
0.415472,0.017536,0.202632,0.255402,0.002368,0.000896,0.000576,0.902404
0.416880,0.017664,0.220681,0.258410,0.002528,0.000960,0.000384,0.925860
0.421584,0.017665,0.202760,0.248682,0.002496,0.000928,0.000384,0.901699
0.415920,0.018208,0.202888,0.264555,0.002272,0.000992,0.000384,0.911940
0.416304,0.017601,0.203080,0.250570,0.002400,0.001024,0.000352,0.898499
0.415793,0.017472,0.202632,0.243754,0.002272,0.001088,0.000416,0.890723
0.420560,0.017697,0.202984,0.256746,0.002400,0.000960,0.000384,0.908611
0.415185,0.017505,0.202727,0.261803,0.002688,0.000992,0.000352,0.908772
0.420528,0.017504,0.221513,0.252202,0.002432,0.001056,0.000384,0.922884
0.416144,0.017696,0.202728,0.266571,0.002496,0.001024,0.000384,0.914724
0.415952,0.017505,0.202536,0.253418,0.002976,0.001024,0.000416,0.900771
0.417521,0.017473,0.203784,0.247817,0.002272,0.001024,0.000352,0.898244
0.417008,0.017281,0.202792,0.259914,0.002496,0.000992,0.000416,0.908099
0.418544,0.017440,0.202248,0.253642,0.002432,0.000992,0.000416,0.902851
0.417936,0.017665,0.202312,0.252810,0.002432,0.000992,0.000416,0.902019
0.444049,0.017729,0.202792,0.258122,0.002240,0.000992,0.000416,0.933156
0.417297,0.017537,0.202504,0.261194,0.002528,0.001056,0.000608,0.909348
0.418448,0.017504,0.202568,0.247914,0.002368,0.000960,0.000640,0.897091
0.417905,0.017377,0.202504,0.245961,0.002496,0.000928,0.000640,0.894851
0.416720,0.017441,0.202696,0.264298,0.002496,0.000992,0.000576,0.912163
0.417809,0.017249,0.202696,0.266250,0.002944,0.001088,0.000384,0.916356
0.420112,0.017473,0.202600,0.256138,0.002400,0.001024,0.000608,0.908099
0.434513,0.017601,0.202952,0.271114,0.002432,0.001281,0.000352,0.937669
0.416273,0.017505,0.203367,0.264298,0.002400,0.000992,0.000384,0.912324
0.416048,0.017696,0.202920,0.266475,0.002368,0.000928,0.000352,0.913892
0.416529,0.017472,0.202536,0.274827,0.002336,0.001024,0.000384,0.921476
0.415889,0.017664,0.202792,0.253706,0.002336,0.000928,0.000416,0.900868
0.416208,0.017441,0.202664,0.251338,0.002368,0.000992,0.000416,0.898595
0.416625,0.017568,0.203176,0.273547,0.002464,0.001056,0.000384,0.920516
0.433329,0.017729,0.203880,0.268650,0.002464,0.001152,0.000576,0.935493
0.415953,0.017600,0.202664,0.265771,0.002496,0.000960,0.000640,0.914660
0.416176,0.017536,0.202728,0.257546,0.002784,0.000993,0.000608,0.905124
0.416400,0.017441,0.202792,0.300748,0.002688,0.000864,0.000608,0.947525
0.417073,0.017728,0.205096,0.265547,0.002240,0.000960,0.000416,0.916580
0.417808,0.017697,0.202824,0.253226,0.002464,0.001056,0.000608,0.902179
0.420336,0.017505,0.203208,0.259530,0.002624,0.000928,0.000352,0.911747
0.435985,0.017313,0.204072,0.266954,0.002496,0.000928,0.000384,0.935749
0.416912,0.017569,0.203368,0.261674,0.002528,0.000960,0.000384,0.910147
0.416913,0.017504,0.202408,0.289676,0.002368,0.001312,0.000416,0.937701
0.417873,0.017504,0.218025,0.268235,0.002432,0.001184,0.000352,0.933285
0.419601,0.017569,0.202376,0.259626,0.002464,0.001248,0.000416,0.911332
0.417904,0.017504,0.202248,0.265739,0.002464,0.001088,0.000384,0.914692
0.421649,0.017312,0.202792,0.259563,0.002272,0.001504,0.000384,0.912260
0.417520,0.017345,0.203400,0.261514,0.002176,0.001152,0.000384,0.910371
