Layer[0],Layer[1],Layer[2],Layer[3],TEE[4-7],Layer[8],Layer[9],Layer[10],classifier
0.416240,0.017729,0.202184,0.005280,0.245289,0.002240,0.001088,0.000384,0.897091
0.416816,0.017537,0.219305,0.005248,0.248810,0.002048,0.001152,0.000416,0.919332
0.416720,0.017921,0.202408,0.005280,0.276267,0.002240,0.001088,0.000384,0.929924
0.417072,0.017536,0.202120,0.004800,0.259883,0.002240,0.001088,0.000416,0.912196
0.416272,0.017569,0.202408,0.005312,0.243401,0.002241,0.001120,0.000352,0.895939
0.416848,0.017472,0.202696,0.005088,0.255050,0.002209,0.001120,0.000352,0.908388
0.416880,0.017729,0.202248,0.005088,0.256202,0.002080,0.001088,0.000352,0.908739
0.418161,0.018209,0.207880,0.004864,0.256202,0.002464,0.001120,0.000384,0.918308
0.431441,0.017920,0.203559,0.004897,0.238345,0.002272,0.000992,0.000384,0.906755
0.416369,0.017600,0.202760,0.005249,0.257738,0.002560,0.001056,0.000384,0.910180
0.416017,0.017920,0.202088,0.005313,0.231497,0.002848,0.000928,0.000608,0.883555
0.416240,0.017825,0.202632,0.004864,0.252970,0.002048,0.000992,0.000384,0.904579
0.415889,0.017952,0.202600,0.005121,0.258794,0.003232,0.001088,0.000608,0.913060
0.416240,0.017793,0.202920,0.004928,0.223913,0.002208,0.000896,0.000352,0.875906
0.415696,0.017505,0.202760,0.004992,0.226377,0.002272,0.000896,0.000384,0.877026
0.416112,0.017569,0.215752,0.005313,0.271562,0.002688,0.001056,0.000576,0.937637
0.415952,0.017441,0.202536,0.005120,0.229513,0.002880,0.001057,0.000416,0.881507
0.415537,0.017536,0.202216,0.005249,0.243529,0.002368,0.000992,0.000576,0.895395
0.416304,0.017440,0.202376,0.005120,0.226665,0.002176,0.001056,0.000384,0.878339
0.415696,0.017473,0.202280,0.005024,0.229257,0.002848,0.001120,0.000416,0.880610
0.415952,0.017473,0.202344,0.004832,0.249034,0.005600,0.000832,0.000352,0.902851
0.421552,0.020832,0.202248,0.005313,0.259818,0.002336,0.001088,0.000288,0.921348
0.421104,0.017409,0.217128,0.005089,0.231369,0.002816,0.000832,0.000384,0.902819
0.416241,0.017505,0.202695,0.004833,0.221416,0.001984,0.000896,0.000384,0.873123
0.415824,0.017761,0.202632,0.004864,0.220873,0.002080,0.001024,0.000384,0.871746
0.415504,0.017537,0.202216,0.005056,0.275435,0.002208,0.000864,0.000352,0.926180
0.438097,0.018017,0.202728,0.004768,0.256202,0.002368,0.001088,0.000352,0.933348
0.420528,0.017984,0.203208,0.005056,0.249130,0.002592,0.001344,0.000385,0.909604
0.416368,0.017825,0.202984,0.005216,0.259722,0.003040,0.001280,0.000384,0.914819
0.416784,0.017569,0.220841,0.005312,0.289323,0.002272,0.001312,0.000384,0.962469
0.420592,0.017857,0.202440,0.005216,0.260042,0.002464,0.001056,0.000384,0.917796
0.417104,0.017729,0.203848,0.005056,0.256522,0.002433,0.001152,0.000384,0.912772
0.416593,0.017537,0.202535,0.005280,0.254218,0.002624,0.001280,0.000384,0.908548
0.420273,0.017889,0.202440,0.005216,0.264074,0.002304,0.001408,0.000384,0.921828
0.417265,0.017760,0.202248,0.005057,0.268554,0.002848,0.001056,0.000608,0.922244
0.420273,0.017760,0.202696,0.005473,0.254122,0.002272,0.001184,0.000640,0.912324
0.437841,0.017856,0.204712,0.005056,0.251114,0.002336,0.001121,0.000384,0.928773
0.415409,0.017825,0.202472,0.005056,0.254890,0.002368,0.001344,0.000384,0.908324
0.415633,0.017568,0.202920,0.005249,0.239177,0.002368,0.001120,0.000384,0.892451
0.421329,0.017985,0.202760,0.005280,0.254826,0.002368,0.001152,0.000640,0.913732
0.415632,0.017824,0.202504,0.004800,0.254634,0.002337,0.001088,0.000416,0.907172
0.420048,0.017697,0.202632,0.005056,0.252426,0.002560,0.001216,0.000608,0.910499
0.416016,0.017729,0.202408,0.005056,0.262762,0.002432,0.001152,0.000640,0.916132
0.434033,0.017889,0.203432,0.005248,0.263787,0.002368,0.001248,0.000576,0.936837
0.420752,0.017825,0.202760,0.005344,0.246826,0.002400,0.001344,0.000352,0.905251
0.417136,0.017792,0.202568,0.005280,0.276011,0.002496,0.001217,0.000384,0.931237
0.420368,0.017601,0.202344,0.005312,0.277291,0.002336,0.001152,0.000384,0.935044
0.420913,0.017985,0.206152,0.005312,0.250538,0.002240,0.001248,0.000384,0.912996
0.415920,0.017856,0.202312,0.005280,0.262283,0.003424,0.001120,0.000352,0.916996
0.420464,0.017921,0.202568,0.005248,0.274571,0.002304,0.001248,0.000384,0.932676
0.420496,0.017760,0.202600,0.005280,0.266475,0.003360,0.001216,0.000384,0.926212
