TEE[0-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
1.671465,0.049443,0.000768,0.013376,0.000576,0.001472,0.000992,0.000384,1.745870
1.719532,0.049412,0.000704,0.013377,0.000832,0.001440,0.001056,0.000384,1.793361
1.688170,0.049379,0.000832,0.013665,0.000608,0.001408,0.001088,0.000352,1.763215
1.679914,0.049027,0.000800,0.013472,0.000672,0.001473,0.001024,0.000384,1.754319
1.712684,0.049827,0.000768,0.013472,0.000609,0.001440,0.001024,0.000384,1.788433
1.703435,0.049347,0.000833,0.013504,0.000640,0.001505,0.001088,0.000416,1.778192
1.649640,0.048995,0.000800,0.013441,0.000608,0.001472,0.001056,0.000416,1.725420
1.674378,0.049571,0.000800,0.013409,0.000640,0.001472,0.001120,0.000384,1.749230
1.713356,0.049411,0.000768,0.013409,0.000608,0.001536,0.000992,0.000416,1.788656
1.680266,0.049315,0.000800,0.014209,0.000384,0.001504,0.000992,0.000352,1.755406
1.688363,0.049411,0.000800,0.013953,0.000576,0.001504,0.001184,0.000384,1.763344
1.683466,0.049027,0.000832,0.013633,0.000608,0.001440,0.000929,0.000384,1.757391
1.700299,0.049091,0.000768,0.013665,0.000640,0.001440,0.001120,0.000288,1.773487
1.677994,0.049091,0.000800,0.013633,0.000640,0.001408,0.001152,0.000416,1.751118
1.682954,0.049091,0.000833,0.013600,0.000608,0.001472,0.001024,0.000416,1.758799
1.697835,0.049187,0.000864,0.013537,0.000672,0.001472,0.001184,0.000352,1.772496
1.678186,0.049379,0.000832,0.013537,0.000608,0.001536,0.001184,0.000352,1.754222
1.681482,0.049283,0.000928,0.013889,0.000576,0.001536,0.001025,0.000384,1.756175
1.711980,0.066789,0.000800,0.013793,0.000608,0.001952,0.001120,0.000352,1.805970
1.708748,0.049187,0.000800,0.013441,0.000576,0.001504,0.001056,0.000384,1.783216
1.662409,0.065924,0.000800,0.014017,0.000640,0.001505,0.001152,0.000416,1.754319
1.700683,0.048675,0.000800,0.013857,0.000576,0.001632,0.001216,0.000384,1.774800
1.675978,0.049347,0.000800,0.013824,0.000576,0.001537,0.001056,0.000384,1.768304
1.702955,0.048803,0.000768,0.014433,0.000544,0.001568,0.001152,0.000384,1.778928
1.891447,0.093510,0.000928,0.014561,0.000608,0.001569,0.001120,0.000384,2.012831
1.682154,0.049347,0.000832,0.013985,0.000640,0.001664,0.001120,0.000384,1.757487
1.690538,0.049027,0.000864,0.013761,0.000576,0.001633,0.001088,0.000352,1.765359
1.709227,0.049636,0.000768,0.014113,0.000608,0.001504,0.001056,0.000384,1.785297
1.713643,0.049283,0.000800,0.013697,0.000640,0.001536,0.001024,0.000352,1.788624
1.706123,0.049027,0.000768,0.013537,0.000608,0.001536,0.001024,0.000384,1.780240
1.730061,0.049027,0.000896,0.013537,0.000608,0.001537,0.001024,0.000384,1.804434
1.704108,0.048707,0.000800,0.013473,0.000608,0.001536,0.000928,0.000416,1.776688
1.694058,0.048995,0.000800,0.013409,0.000608,0.001472,0.001024,0.000384,1.769487
1.704779,0.049315,0.000800,0.013473,0.000800,0.001440,0.001024,0.000416,1.779568
1.693994,0.048867,0.000768,0.013761,0.000608,0.001440,0.001056,0.000352,1.769039
1.681738,0.049059,0.000864,0.013505,0.000576,0.001536,0.001056,0.000352,1.755662
1.728685,0.049795,0.000832,0.014113,0.000608,0.001536,0.001057,0.000384,1.803922
1.701835,0.049475,0.000864,0.013921,0.000608,0.001536,0.001024,0.000384,1.776335
1.704939,0.049379,0.000800,0.013601,0.000608,0.001505,0.001024,0.000384,1.779664
1.706700,0.049027,0.000864,0.013409,0.000576,0.001440,0.001024,0.000384,1.780560
1.683466,0.048835,0.000640,0.013472,0.000577,0.001536,0.001120,0.000416,1.757487
1.693643,0.049443,0.000768,0.013985,0.000640,0.001600,0.001056,0.000416,1.768943
1.737261,0.049059,0.000896,0.013729,0.000576,0.001441,0.000992,0.000416,1.812690
1.706252,0.048867,0.000640,0.013633,0.000832,0.001408,0.000864,0.000384,1.779888
1.727212,0.050531,0.000800,0.013665,0.000640,0.001504,0.001024,0.000384,1.802961
1.692939,0.049219,0.000864,0.013409,0.000672,0.001408,0.001152,0.000416,1.767823
1.760527,0.049251,0.000864,0.013441,0.000608,0.001440,0.001120,0.000384,1.834516
1.727596,0.048963,0.000864,0.013633,0.000640,0.001504,0.001056,0.000448,1.802129
1.681322,0.049411,0.000800,0.013473,0.000608,0.001440,0.001056,0.000352,1.755598
1.704875,0.049283,0.000800,0.013473,0.000640,0.001504,0.001056,0.000384,1.779536
1.737869,0.049155,0.000800,0.013440,0.000416,0.001473,0.000992,0.000384,1.811538
1.669865,0.049315,0.000800,0.013537,0.000608,0.001536,0.001024,0.000384,1.743853
1.710796,0.050051,0.000896,0.013537,0.000832,0.001473,0.001024,0.000416,1.786545
1.684522,0.048739,0.000800,0.013409,0.000576,0.001472,0.001120,0.000384,1.759023
1.700810,0.049539,0.000736,0.013537,0.000608,0.001472,0.001024,0.000352,1.775439
1.653768,0.048931,0.000864,0.013377,0.000832,0.001377,0.001056,0.000384,1.728909
1.754287,0.049091,0.000800,0.013345,0.000608,0.001472,0.001152,0.000320,1.828211
1.684010,0.048963,0.000800,0.013409,0.000576,0.001440,0.001024,0.000288,1.758639
1.693675,0.049443,0.000896,0.014241,0.000640,0.001568,0.001088,0.000384,1.768815
1.705003,0.049315,0.000704,0.013889,0.000608,0.001408,0.001152,0.000384,1.779696
1.743438,0.049347,0.000800,0.013473,0.000576,0.001472,0.001089,0.000384,1.818035
1.727788,0.049859,0.000800,0.013633,0.000608,0.001440,0.001632,0.000576,1.805521
1.730093,0.049955,0.000928,0.013857,0.000608,0.001440,0.001024,0.000384,1.806002
1.709867,0.049635,0.000864,0.013697,0.000608,0.001472,0.001056,0.000416,1.786160
1.714604,0.049987,0.000832,0.013409,0.000608,0.001440,0.000992,0.000384,1.790544
1.704459,0.050019,0.000864,0.013889,0.000640,0.001568,0.001184,0.000384,1.780496
1.711563,0.049220,0.000896,0.013697,0.000576,0.001344,0.001056,0.000384,1.786288
1.678185,0.048963,0.000832,0.013569,0.000640,0.001440,0.001088,0.000352,1.753294
1.688586,0.049059,0.000832,0.013921,0.000608,0.001408,0.001024,0.000384,1.763055
1.726189,0.049251,0.000800,0.013569,0.000608,0.001408,0.000960,0.000352,1.800401
1.707403,0.048995,0.000832,0.013505,0.000640,0.001376,0.000960,0.000384,1.781199
1.713867,0.049283,0.000832,0.013505,0.000608,0.001472,0.001024,0.000384,1.789584
1.715340,0.049059,0.000832,0.013569,0.000608,0.001504,0.001088,0.000416,1.789680
1.714700,0.048963,0.000800,0.013441,0.000864,0.001376,0.001153,0.000352,1.789969
1.712364,0.049283,0.000800,0.013345,0.000608,0.001536,0.001152,0.000384,1.786672
1.658760,0.049443,0.000800,0.013569,0.000608,0.001504,0.001120,0.000416,1.733261
1.667337,0.049443,0.000864,0.013440,0.000609,0.001504,0.000992,0.000352,1.742126
1.698315,0.049027,0.000800,0.013409,0.000608,0.001440,0.001121,0.000352,1.772656
1.709803,0.049348,0.000768,0.013601,0.000608,0.001504,0.001088,0.000352,1.784432
1.675113,0.049347,0.000800,0.013440,0.000608,0.001472,0.000992,0.000416,1.768239
1.679562,0.049187,0.000800,0.013409,0.000608,0.001376,0.000992,0.000352,1.752974
1.709164,0.065380,0.000864,0.013473,0.000608,0.001408,0.001056,0.000448,1.801521
1.683273,0.049284,0.001152,0.013633,0.000640,0.001504,0.001088,0.000384,1.758862
1.682505,0.069892,0.000864,0.013473,0.000608,0.001440,0.001120,0.000384,1.778863
1.716140,0.048419,0.000832,0.013473,0.000640,0.001472,0.001152,0.000384,1.789809
1.736173,0.049123,0.000864,0.013537,0.000576,0.001440,0.001024,0.000352,1.810801
1.713516,0.049443,0.000768,0.014081,0.000640,0.001536,0.001024,0.000352,1.788816
1.715020,0.049251,0.000832,0.013441,0.000608,0.001504,0.001088,0.000384,1.790160
1.718027,0.049155,0.000832,0.013569,0.000640,0.001408,0.001152,0.000352,1.792336
1.731948,0.049539,0.000896,0.013441,0.000800,0.001504,0.001120,0.000384,1.807025
1.679209,0.049283,0.000832,0.013505,0.000800,0.001408,0.001152,0.000416,1.753614
1.763854,0.049347,0.000800,0.013697,0.000608,0.001472,0.000960,0.000352,1.838547
1.698314,0.048771,0.000800,0.013441,0.000608,0.001440,0.001088,0.000416,1.772687
1.738509,0.049251,0.000768,0.013697,0.000640,0.001440,0.001025,0.000384,1.814162
1.706891,0.049731,0.000896,0.013569,0.000576,0.001440,0.001024,0.000385,1.782064
1.696010,0.049475,0.000896,0.013409,0.000608,0.001376,0.001088,0.000352,1.771279
1.682697,0.048803,0.000800,0.013729,0.000640,0.001536,0.001089,0.000352,1.757519
