Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],TEE[7-9],Layer[10],classifier
0.435505,0.017601,0.202152,0.004864,0.048290,0.000544,0.013409,0.188807,0.000672,0.918980
0.416497,0.017952,0.202440,0.004833,0.048129,0.000608,0.013441,0.180967,0.000608,0.892547
0.416304,0.017345,0.202056,0.004832,0.048546,0.000576,0.013473,0.185735,0.000704,0.896227
0.415857,0.017248,0.202440,0.004768,0.047906,0.000576,0.032610,0.189895,0.000736,0.918980
0.416080,0.017216,0.202408,0.004768,0.049570,0.000576,0.013409,0.176359,0.000640,0.888387
0.420432,0.017345,0.202696,0.004800,0.049058,0.000608,0.013409,0.185287,0.000704,0.900771
0.415952,0.017249,0.203816,0.004832,0.047234,0.000576,0.013377,0.180455,0.000576,0.891267
0.433585,0.017473,0.202024,0.004896,0.047202,0.000576,0.013408,0.190216,0.000576,0.918372
0.416912,0.017377,0.202440,0.004864,0.049058,0.000640,0.013697,0.187111,0.000608,0.901027
0.416592,0.017473,0.202344,0.005056,0.049410,0.000576,0.014017,0.187399,0.000704,0.901027
0.416977,0.017344,0.201768,0.004832,0.048866,0.000576,0.013633,0.204584,0.000832,0.916292
0.416241,0.017408,0.201864,0.004800,0.048034,0.000576,0.013409,0.180679,0.000608,0.890467
0.416689,0.017952,0.202664,0.004832,0.048225,0.000576,0.013409,0.186183,0.000608,0.897763
0.416049,0.017312,0.202216,0.004832,0.047746,0.000544,0.013409,0.175175,0.000608,0.884771
0.431249,0.017312,0.202152,0.004832,0.048033,0.000544,0.013409,0.175047,0.000576,0.900163
0.416560,0.017537,0.201864,0.004992,0.047842,0.000576,0.013697,0.174183,0.000864,0.885603
0.416112,0.017249,0.202280,0.004800,0.048802,0.000576,0.013409,0.176327,0.000576,0.887619
0.418609,0.018273,0.202920,0.005056,0.049314,0.000832,0.013760,0.265355,0.000960,0.986759
0.419120,0.017665,0.203080,0.005280,0.049442,0.000800,0.014209,0.197287,0.000960,0.916612
0.419601,0.017857,0.202824,0.005312,0.049122,0.000832,0.013792,0.227849,0.001024,0.950566
0.418032,0.017729,0.202472,0.005280,0.048290,0.000800,0.013857,0.185671,0.000640,0.900035
0.420368,0.017761,0.207368,0.005280,0.049762,0.000768,0.014081,0.201608,0.000864,0.927908
0.418896,0.017441,0.203112,0.005248,0.050850,0.000800,0.014241,0.183975,0.000608,0.902947
0.417136,0.017473,0.203144,0.005280,0.049154,0.000576,0.014176,0.174823,0.000640,0.889474
0.431473,0.017345,0.202152,0.004864,0.049506,0.000576,0.013761,0.186055,0.000544,0.913412
0.415952,0.017665,0.202472,0.005024,0.049378,0.000576,0.013825,0.180519,0.000576,0.892835
0.416049,0.017761,0.202407,0.005281,0.049410,0.000576,0.013696,0.171719,0.000640,0.884355
0.416336,0.017696,0.202280,0.005056,0.048610,0.000544,0.013793,0.184679,0.000736,0.896995
0.416272,0.017537,0.202472,0.005248,0.047906,0.000608,0.013697,0.180999,0.000800,0.892899
0.416817,0.017441,0.202535,0.005185,0.047618,0.000576,0.013632,0.185895,0.000609,0.896676
0.416240,0.017249,0.202344,0.005248,0.048674,0.000608,0.013505,0.181063,0.000576,0.892451
0.434609,0.017441,0.202376,0.004864,0.048226,0.000576,0.014625,0.177383,0.000608,0.907300
0.420401,0.017473,0.202599,0.005281,0.047266,0.000576,0.013632,0.173447,0.000576,0.888035
0.416112,0.017217,0.202440,0.005280,0.046946,0.000576,0.013409,0.170790,0.000608,0.879650
0.418577,0.017632,0.202376,0.005249,0.047713,0.000769,0.013568,0.183975,0.000704,0.896963
0.415600,0.017441,0.202440,0.005280,0.048578,0.000576,0.013569,0.184487,0.000800,0.894819
0.416304,0.017473,0.202312,0.005312,0.047682,0.000608,0.013568,0.183015,0.000576,0.893123
0.421136,0.017569,0.202408,0.005312,0.047202,0.000608,0.013601,0.175719,0.000608,0.890947
0.417393,0.017600,0.220745,0.005248,0.047010,0.000576,0.013761,0.172774,0.000640,0.903492
0.415760,0.017505,0.202248,0.004800,0.047170,0.000576,0.013632,0.178503,0.000864,0.887618
0.420849,0.017473,0.203080,0.005280,0.047842,0.000576,0.013696,0.174855,0.000768,0.891395
0.421392,0.017761,0.202088,0.005440,0.048226,0.000576,0.013856,0.178887,0.000960,0.896003
0.433265,0.017440,0.202152,0.005312,0.047746,0.000608,0.013665,0.185095,0.000640,0.912675
0.415952,0.017505,0.202088,0.005216,0.047842,0.000576,0.013729,0.180199,0.000832,0.890595
0.416880,0.017313,0.201896,0.005280,0.047074,0.000576,0.013441,0.176743,0.000608,0.886819
0.416432,0.017729,0.201928,0.023969,0.050114,0.000576,0.013440,0.172551,0.000704,0.904419
0.415537,0.017760,0.202216,0.005249,0.048290,0.000576,0.013664,0.177031,0.000736,0.887107
0.416785,0.017632,0.202504,0.005312,0.048962,0.000608,0.013313,0.180007,0.000544,0.892195
0.417681,0.018241,0.202215,0.005313,0.048226,0.000576,0.013472,0.178983,0.000768,0.893123
