IN[0],INFER[0-9],OUT[9],TEE[0-9],Layer[10],classifier
0.117603,1.579534,0.063042,1.765460,0.000800,1.767892
0.133028,1.589327,0.070370,1.797942,0.000672,1.800694
0.125027,1.572686,0.064546,1.769620,0.000672,1.771764
0.151076,1.598288,0.080418,1.836214,0.000768,1.838614
0.157189,1.574287,0.064578,1.801942,0.000576,1.804086
0.136996,1.581071,0.075970,1.799989,0.000640,1.802869
0.117476,1.576078,0.080611,1.779253,0.000640,1.781717
0.131811,1.591280,0.109731,1.838070,0.000672,1.840790
0.132644,1.575790,0.066754,1.780244,0.000640,1.782389
0.174661,1.596655,0.085635,1.866647,0.000736,1.870071
0.128356,1.572751,0.069250,1.776021,0.000704,1.778773
0.149412,1.589967,0.077987,1.824790,0.000704,1.827958
0.133348,1.572463,0.072482,1.785589,0.000832,1.788309
0.134756,1.602992,0.092739,1.838327,0.000736,1.841623
0.124164,1.588879,0.069858,1.788693,0.000800,1.791413
0.132804,1.599183,0.069059,1.807734,0.000800,1.810838
0.137732,1.578126,0.064546,1.785621,0.000704,1.787989
0.145540,1.584495,0.075939,1.811926,0.000672,1.814614
0.131236,1.581743,0.069154,1.787125,0.000704,1.789525
0.134372,1.591343,0.079779,1.811798,0.000576,1.814422
0.138436,1.569135,0.072002,1.786933,0.000640,1.789205
0.135364,1.588559,0.077410,1.808533,0.000640,1.811317
0.134500,1.573070,0.074467,1.789109,0.000896,1.791605
0.154949,1.604624,0.081858,1.849751,0.000736,1.852695
0.153604,1.581711,0.074403,1.817270,0.000800,1.820214
0.149445,1.589743,0.113123,1.860088,0.000736,1.863256
0.148996,1.570895,0.067522,1.793525,0.000672,1.795861
0.147653,1.598063,0.075011,1.827799,0.000704,1.830711
0.124131,1.565454,0.074498,1.769748,0.000736,1.772212
0.149125,1.596335,0.079747,1.831895,0.000736,1.834775
0.138020,1.566479,0.065026,1.776117,0.000832,1.778581
0.153637,1.593583,0.067554,1.822134,0.000800,1.824406
0.150436,1.572719,0.066530,1.796565,0.000768,1.799125
0.159685,1.578255,0.068802,1.814198,0.000768,1.816918
0.148229,1.571215,0.066978,1.792758,0.000672,1.795126
0.138181,1.576526,0.073730,1.795094,0.000672,1.797526
0.146596,1.581775,0.065090,1.799765,0.000800,1.802454
