Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],IN[10],INFER[10-10],OUT[10],TEE[10-10],classifier
0.396268,0.017953,0.191365,0.005312,0.047042,0.000800,0.013504,0.000352,0.001568,0.001216,0.112452,0.034849,0.000064,0.149797,0.832409
0.400172,0.017857,0.191397,0.004832,0.047330,0.000608,0.013536,0.000384,0.001504,0.001120,0.110564,0.034625,0.000032,0.147685,0.833657
0.396907,0.017985,0.191846,0.005280,0.047745,0.000992,0.013633,0.000352,0.001824,0.001248,0.113027,0.036161,0.000064,0.151844,0.836984
0.402796,0.018081,0.192101,0.005281,0.049473,0.001024,0.013537,0.000416,0.001504,0.002752,0.134628,0.031489,0.000064,0.168677,0.864762
0.396332,0.017600,0.219751,0.005248,0.048353,0.000832,0.013921,0.000384,0.001632,0.001216,0.114755,0.036001,0.000064,0.153348,0.866969
0.396492,0.017761,0.192485,0.004865,0.047841,0.000832,0.013664,0.000352,0.001472,0.001216,0.107043,0.035233,0.000064,0.144804,0.829465
0.400812,0.017633,0.192709,0.004864,0.047970,0.000800,0.013856,0.000320,0.001664,0.001216,0.107684,0.032641,0.000064,0.142917,0.832025
0.400588,0.017440,0.191462,0.004832,0.049409,0.000833,0.013728,0.000384,0.001568,0.001184,0.107939,0.031617,0.000032,0.142020,0.830904
0.411916,0.017472,0.191430,0.004896,0.048098,0.000768,0.013472,0.000384,0.001472,0.001152,0.103939,0.035137,0.000064,0.142148,0.840472
0.395756,0.017761,0.191173,0.005249,0.047873,0.000768,0.013856,0.000384,0.001441,0.001152,0.110051,0.035873,0.000032,0.148452,0.831961
0.400844,0.017601,0.191430,0.005216,0.047809,0.000800,0.013505,0.000384,0.001504,0.001120,0.104643,0.036033,0.000032,0.143204,0.830425
0.400492,0.017632,0.191846,0.004800,0.047521,0.000769,0.013536,0.000352,0.001472,0.001120,0.105187,0.029505,0.000064,0.137508,0.824568
0.396364,0.017729,0.191493,0.005024,0.047938,0.000800,0.013568,0.000384,0.001728,0.001536,0.109956,0.035841,0.000096,0.148421,0.832473
0.400364,0.017600,0.192006,0.004832,0.047522,0.000800,0.013472,0.000352,0.001504,0.001152,0.104323,0.033409,0.000032,0.140420,0.827480
0.396236,0.017569,0.191173,0.005088,0.049154,0.000864,0.013536,0.000352,0.001440,0.001152,0.108548,0.030081,0.000064,0.141253,0.825721
0.396012,0.017696,0.191302,0.004896,0.047810,0.000800,0.031553,0.000480,0.001664,0.001088,0.108835,0.035201,0.000064,0.146244,0.847801
0.395724,0.017664,0.191526,0.005088,0.047842,0.000768,0.013408,0.000384,0.001440,0.001088,0.106563,0.030497,0.000064,0.139684,0.821784
0.400876,0.017729,0.191205,0.004960,0.048994,0.000768,0.013440,0.000352,0.001472,0.001152,0.105124,0.030113,0.000096,0.137957,0.826425
0.400780,0.017824,0.191334,0.004864,0.047713,0.000800,0.013505,0.000384,0.001440,0.001184,0.110371,0.035649,0.000032,0.148548,0.835768
0.416621,0.017760,0.191750,0.005312,0.048034,0.000800,0.013472,0.000384,0.001568,0.001152,0.108579,0.035745,0.000064,0.146692,0.851129
0.400588,0.017633,0.191621,0.004897,0.047617,0.000832,0.013472,0.000384,0.001440,0.001216,0.105763,0.030689,0.000064,0.138980,0.825625
0.395980,0.017568,0.191974,0.005248,0.047777,0.001024,0.013537,0.000384,0.001440,0.001184,0.107907,0.031585,0.000032,0.142148,0.826296
0.400204,0.017665,0.191750,0.004832,0.047617,0.000832,0.013441,0.000384,0.001536,0.001184,0.109283,0.034817,0.000064,0.146660,0.833337
0.416748,0.017697,0.191238,0.004864,0.047617,0.000800,0.013473,0.000384,0.001568,0.001184,0.108227,0.030689,0.000064,0.141444,0.844377
0.400076,0.017600,0.191942,0.005280,0.047426,0.000800,0.013536,0.000384,0.001536,0.001152,0.108548,0.030656,0.000064,0.141572,0.828952
0.401196,0.017760,0.191782,0.004896,0.047074,0.000768,0.013472,0.000384,0.001504,0.001152,0.109091,0.029921,0.000064,0.142084,0.829304
0.395723,0.017761,0.191493,0.004897,0.047297,0.000768,0.013536,0.000352,0.001568,0.001184,0.127395,0.040578,0.000096,0.172869,0.855385
