Layer[0],Layer[1],IN[2],INFER[2-9],OUT[9],TEE[2-9],Layer[10],classifier
0.395979,0.017761,0.132100,0.590865,0.070723,0.797464,0.000704,1.217188
0.396428,0.017728,0.144292,0.588881,0.067106,0.804600,0.000800,1.224484
0.398092,0.017664,0.121380,0.589777,0.063842,0.778743,0.000608,1.200291
0.397035,0.017792,0.134052,0.604050,0.069634,0.811672,0.000672,1.232228
0.398540,0.017633,0.135620,0.612402,0.079106,0.831160,0.000672,1.253733
0.395948,0.017825,0.134852,0.592145,0.069890,0.801111,0.000928,1.221604
0.396363,0.017793,0.141188,0.589874,0.065729,0.800664,0.000800,1.220580
0.396139,0.017792,0.175717,0.609842,0.071363,0.860922,0.000832,1.280870
0.397452,0.017600,0.127332,0.586513,0.064770,0.782871,0.000800,1.203811
0.395148,0.017568,0.143461,0.586961,0.067170,0.801720,0.000672,1.220100
0.397100,0.017792,0.140677,0.599089,0.071842,0.816024,0.000801,1.236965
0.395884,0.017696,0.135044,0.604498,0.068866,0.812056,0.000736,1.231524
0.395244,0.017760,0.135044,0.626355,0.079202,0.846681,0.000640,1.266245
0.395180,0.017824,0.134404,0.592274,0.065954,0.796696,0.000704,1.215524
0.395628,0.017920,0.134308,0.606194,0.069602,0.814008,0.000768,1.233892
0.395883,0.017920,0.157445,0.615826,0.067586,0.845657,0.000768,1.266277
0.395851,0.017697,0.131780,0.589745,0.082915,0.808568,0.000736,1.227940
0.396332,0.017984,0.133188,0.593842,0.066370,0.797752,0.000736,1.218180
0.396300,0.017761,0.134980,0.592753,0.072610,0.804215,0.000736,1.224420
0.395851,0.017697,0.137444,0.589810,0.067458,0.799064,0.000736,1.219140
0.395948,0.017793,0.133316,0.624754,0.109283,0.872057,0.000640,1.291974
0.395052,0.017825,0.130628,0.600145,0.068610,0.803447,0.000705,1.221797
0.395659,0.017696,0.138308,0.588434,0.075458,0.806424,0.000800,1.225060
0.396236,0.017665,0.153188,0.595794,0.070818,0.824088,0.000736,1.243205
0.395468,0.017632,0.134436,0.591314,0.073890,0.804120,0.000736,1.223204
0.395659,0.017825,0.125892,0.588209,0.066562,0.784535,0.000736,1.203907
0.418317,0.017856,0.127876,0.601394,0.066754,0.799640,0.000704,1.241253
0.396876,0.017984,0.137924,0.587858,0.069314,0.799480,0.000672,1.220708
0.395979,0.017761,0.137668,0.608818,0.075010,0.827384,0.000704,1.247941
0.397740,0.017696,0.140260,0.604625,0.068386,0.817496,0.000704,1.239013
0.396076,0.017824,0.133284,0.589874,0.066210,0.793208,0.000736,1.212932
0.397772,0.017601,0.127907,0.605714,0.075107,0.813528,0.000704,1.234885
0.395404,0.017728,0.137252,0.592017,0.065218,0.798776,0.000736,1.217604
0.396876,0.017633,0.137796,0.588849,0.066754,0.797495,0.000704,1.217924
