Layer[0],Layer[1],IN[2],INFER[2-10],OUT[10],TEE[2-10],classifier
0.395691,0.017920,0.133476,0.580785,0.063554,0.781399,1.199523
0.395659,0.017377,0.138692,0.610962,0.077635,0.830873,1.248197
0.395724,0.017984,0.131844,0.589426,0.067138,0.791800,1.209572
0.396012,0.017825,0.127395,0.604562,0.064834,0.800407,1.218500
0.395947,0.017505,0.120644,0.604305,0.067169,0.795704,1.213700
0.395948,0.017920,0.119652,0.585041,0.068930,0.776631,1.194243
0.396171,0.017889,0.139428,0.599762,0.066082,0.808504,1.227364
0.411629,0.017984,0.142501,0.594449,0.065826,0.806168,1.240485
0.396492,0.017920,0.137828,0.583314,0.063778,0.788760,1.206564
0.395980,0.017792,0.137220,0.584786,0.064674,0.789624,1.207396
0.396652,0.017505,0.126243,0.588242,0.067234,0.784887,1.204324
0.397131,0.017953,0.136196,0.584593,0.064930,0.789239,1.208675
0.395532,0.017696,0.139268,0.598802,0.078306,0.820024,1.238148
0.396012,0.017761,0.159012,0.585490,0.066978,0.814968,1.233093
0.395820,0.017569,0.123043,0.584914,0.063553,0.774550,1.192228
0.396268,0.017920,0.135588,0.597522,0.073058,0.809784,1.228516
0.395788,0.017825,0.140900,0.586257,0.065378,0.795959,1.214148
0.395884,0.017888,0.128452,0.587634,0.063649,0.783287,1.201219
0.415117,0.017632,0.134788,0.596562,0.065154,0.799960,1.237221
0.395596,0.017441,0.134852,0.581649,0.063970,0.783991,1.201156
0.396395,0.017569,0.139076,0.589842,0.065282,0.797496,1.217316
0.396684,0.017729,0.135940,0.583473,0.063650,0.786263,1.205124
0.396428,0.017633,0.137316,0.597938,0.064609,0.802775,1.219908
0.395660,0.017472,0.137444,0.599922,0.084226,0.825369,1.242789
0.396396,0.017793,0.126147,0.586258,0.062658,0.778231,1.196452
0.395884,0.017376,0.137220,0.584977,0.069538,0.795000,1.212900
0.395756,0.017313,0.133604,0.602930,0.086530,0.826552,1.244133
0.395980,0.017920,0.137317,0.584337,0.064226,0.789720,1.207876
0.395500,0.017313,0.122467,0.585682,0.063777,0.775254,1.192900
0.413964,0.017537,0.137476,0.594097,0.065410,0.800023,1.235652
