TEE[0-2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
1.646001,0.005345,0.047523,0.000576,0.013409,0.000416,0.001536,0.000992,0.000352,1.723318
1.659538,0.005344,0.047620,0.000640,0.013505,0.000384,0.001408,0.000992,0.000320,1.738391
1.686004,0.005184,0.047780,0.000608,0.013377,0.000416,0.001440,0.001088,0.000352,1.763737
1.668338,0.005408,0.048612,0.000608,0.013505,0.000448,0.001440,0.001152,0.000352,1.748792
1.682035,0.005312,0.048323,0.000832,0.013505,0.000416,0.001409,0.001120,0.000320,1.760921
1.681523,0.005249,0.047587,0.000576,0.013537,0.000416,0.001408,0.001088,0.000352,1.759480
1.664914,0.005409,0.048803,0.000768,0.013537,0.000480,0.001504,0.001344,0.000352,1.745111
1.695156,0.005440,0.048068,0.000640,0.013441,0.000416,0.001504,0.001280,0.000352,1.774137
1.670674,0.005312,0.048611,0.000577,0.013696,0.000384,0.001472,0.001184,0.000320,1.749944
1.706100,0.005504,0.048099,0.000768,0.013441,0.000384,0.001504,0.001120,0.000320,1.785595
1.679923,0.005184,0.047619,0.000672,0.013601,0.000416,0.001472,0.001216,0.000321,1.757849
1.659601,0.005280,0.047843,0.000640,0.013569,0.000416,0.001824,0.001089,0.000416,1.738039
1.679155,0.005281,0.047779,0.001024,0.013569,0.000416,0.001472,0.001184,0.000352,1.756793
1.667410,0.005504,0.048036,0.000576,0.013537,0.000480,0.001472,0.001280,0.000384,1.747255
1.644400,0.005185,0.047683,0.001024,0.013441,0.000352,0.001408,0.001056,0.000320,1.722229
1.656849,0.005185,0.047907,0.000608,0.013857,0.000480,0.001472,0.001024,0.000352,1.735318
1.664658,0.005408,0.047683,0.000576,0.013409,0.000448,0.001408,0.001088,0.000384,1.742935
1.649969,0.005184,0.048419,0.000608,0.013569,0.000416,0.001504,0.001185,0.000384,1.729079
1.666225,0.005408,0.047683,0.000576,0.013441,0.000384,0.001409,0.000992,0.000416,1.743896
1.658065,0.005281,0.047683,0.000640,0.013505,0.000416,0.001440,0.001088,0.000352,1.736086
1.669586,0.005312,0.047748,0.000832,0.013409,0.000384,0.001440,0.000992,0.000384,1.746391
1.695475,0.005408,0.047587,0.000576,0.013505,0.000384,0.001409,0.001152,0.000384,1.773081
1.705013,0.005601,0.048035,0.000576,0.013569,0.000416,0.001408,0.001120,0.000320,1.784922
1.647440,0.005185,0.048067,0.000576,0.013537,0.000416,0.001440,0.000960,0.000320,1.724469
1.701780,0.005377,0.047331,0.000576,0.013441,0.000352,0.001376,0.000864,0.000320,1.779161
1.657905,0.005376,0.048003,0.000640,0.013441,0.000416,0.001376,0.000993,0.000320,1.735415
1.677170,0.005249,0.047619,0.000640,0.013441,0.000416,0.001504,0.001056,0.000352,1.754519
1.642128,0.005377,0.048643,0.000576,0.013377,0.000384,0.001408,0.001056,0.000384,1.720565
1.680946,0.005376,0.048803,0.000608,0.013537,0.000384,0.001505,0.001056,0.000384,1.759192
1.659025,0.005216,0.047939,0.001024,0.013569,0.000384,0.001409,0.001088,0.000384,1.736855
1.686387,0.005729,0.047875,0.000640,0.013569,0.000448,0.001504,0.001024,0.000352,1.764472
1.668306,0.005313,0.047811,0.000608,0.013825,0.000384,0.001504,0.001088,0.000384,1.746679
1.699252,0.005344,0.047908,0.000800,0.013697,0.000384,0.001440,0.001152,0.000352,1.779129
1.665554,0.005281,0.047907,0.000544,0.013505,0.000384,0.001408,0.000992,0.000352,1.742647
1.690516,0.005184,0.048740,0.000608,0.013473,0.000416,0.001376,0.001056,0.000384,1.769753
1.671922,0.005377,0.048163,0.001024,0.013505,0.000384,0.001408,0.001024,0.000352,1.750519
1.692307,0.005312,0.048067,0.000576,0.013537,0.000416,0.001441,0.001248,0.000416,1.771289
1.679986,0.005312,0.048867,0.000608,0.013441,0.000352,0.001440,0.001057,0.000352,1.758712
1.688564,0.005280,0.047556,0.000832,0.013505,0.000384,0.001408,0.000896,0.000352,1.766201
1.674259,0.005248,0.048612,0.000832,0.013377,0.000384,0.001440,0.001056,0.000384,1.752984
1.685235,0.005249,0.047683,0.000544,0.013345,0.000416,0.001440,0.001024,0.000352,1.762968
1.670354,0.005184,0.047619,0.000576,0.013441,0.000448,0.001504,0.001056,0.000352,1.747672
1.721653,0.005312,0.047907,0.000576,0.013889,0.000416,0.001505,0.001120,0.000384,1.800731
1.704212,0.005216,0.047844,0.000608,0.013825,0.000384,0.001408,0.001120,0.000384,1.781754
1.653329,0.005280,0.048260,0.000608,0.013473,0.000384,0.001408,0.001024,0.000384,1.731862
1.646384,0.011841,0.047843,0.000576,0.013441,0.000384,0.001345,0.001024,0.000320,1.731670
1.685683,0.005472,0.049412,0.000640,0.013569,0.000352,0.001376,0.001056,0.000320,1.764792
1.651888,0.005344,0.048099,0.000608,0.013825,0.000416,0.001536,0.001057,0.000384,1.729622
1.680114,0.005409,0.047651,0.000608,0.013409,0.000384,0.001440,0.000960,0.000320,1.756951
1.670482,0.005312,0.047651,0.000640,0.013441,0.000416,0.001441,0.001088,0.000352,1.746807
1.683763,0.005312,0.047875,0.000576,0.013665,0.000384,0.001408,0.001056,0.000352,1.762105
1.668337,0.005473,0.047683,0.000608,0.013409,0.000416,0.001376,0.000960,0.000320,1.744758
1.723157,0.005440,0.047907,0.000608,0.013600,0.000448,0.001376,0.001056,0.000352,1.801979
1.692180,0.005280,0.047652,0.000576,0.013505,0.000384,0.001376,0.001024,0.000384,1.769657
1.697460,0.005377,0.047491,0.000832,0.013409,0.000352,0.001440,0.000960,0.000352,1.775129
1.697076,0.006464,0.047844,0.000576,0.013441,0.000416,0.001408,0.001056,0.000352,1.776409
1.671537,0.005248,0.047683,0.000576,0.013473,0.000416,0.001473,0.001184,0.000320,1.749527
1.646640,0.005376,0.047876,0.000544,0.013377,0.000384,0.001408,0.001088,0.000384,1.724597
1.725269,0.005377,0.047555,0.000640,0.013825,0.000416,0.001472,0.001056,0.000352,1.803418
1.658993,0.005216,0.047523,0.001025,0.013472,0.000417,0.001408,0.000960,0.000352,1.736791
1.738807,0.005408,0.047652,0.000608,0.013505,0.000384,0.001408,0.001088,0.000352,1.818044
1.688051,0.005249,0.048611,0.001024,0.013409,0.000352,0.001376,0.000992,0.000352,1.767001
1.694163,0.005313,0.048291,0.000576,0.013697,0.000416,0.001504,0.001280,0.000352,1.774232
1.688179,0.005473,0.048675,0.000608,0.013729,0.000416,0.001440,0.000992,0.000384,1.766136
1.649712,0.005249,0.048003,0.000576,0.013377,0.000384,0.001504,0.001056,0.000320,1.727701
1.691923,0.005184,0.047972,0.000832,0.013409,0.000384,0.001440,0.001088,0.000352,1.769496
1.649137,0.005344,0.048580,0.000832,0.014017,0.000352,0.001408,0.001024,0.000352,1.728662
1.645872,0.005248,0.048003,0.000576,0.013441,0.000384,0.001505,0.001152,0.000352,1.723894
1.671473,0.005344,0.050435,0.000576,0.013760,0.000384,0.001408,0.001024,0.000288,1.752087
1.686163,0.005312,0.049604,0.000576,0.014241,0.000352,0.001792,0.001120,0.000384,1.768056
1.683090,0.005249,0.048067,0.000608,0.013633,0.000384,0.001504,0.001056,0.000352,1.762231
1.662449,0.005313,0.048515,0.000608,0.013505,0.000352,0.001440,0.001184,0.000352,1.741590
1.669138,0.005120,0.049444,0.000672,0.013601,0.000448,0.001408,0.001088,0.000352,1.749207
1.666641,0.005216,0.048867,0.000576,0.013377,0.000416,0.001472,0.001089,0.000352,1.745463
1.694579,0.005281,0.048771,0.000608,0.013473,0.000384,0.001408,0.001184,0.000352,1.773752
1.701460,0.005217,0.048707,0.000608,0.013569,0.000384,0.001408,0.001056,0.000352,1.780633
1.667410,0.005408,0.049732,0.000576,0.013665,0.000384,0.001472,0.001120,0.000384,1.746839
1.686994,0.005504,0.049251,0.000576,0.013377,0.000352,0.001441,0.001056,0.000384,1.766008
1.687027,0.005248,0.048099,0.001056,0.013537,0.000416,0.001472,0.001088,0.000416,1.765720
1.686226,0.005281,0.047971,0.001056,0.013633,0.000384,0.001504,0.001248,0.000320,1.764537
1.664753,0.005280,0.047939,0.000608,0.013473,0.000416,0.001472,0.001025,0.000352,1.742519
1.641775,0.005376,0.047939,0.000608,0.013473,0.000384,0.001472,0.001184,0.000384,1.721653
1.689075,0.005344,0.048452,0.000608,0.013537,0.000416,0.001440,0.001120,0.000352,1.767448
1.731542,0.005856,0.051076,0.000800,0.013985,0.000384,0.002016,0.002048,0.000640,1.820475
1.653968,0.005441,0.048739,0.000576,0.014369,0.000384,0.001568,0.001185,0.000352,1.733878
1.778393,0.005888,0.050980,0.000544,0.014177,0.000384,0.001696,0.002080,0.000576,1.866814
1.667313,0.005569,0.048995,0.000768,0.013889,0.000384,0.001504,0.001057,0.000224,1.746871
