Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],TEE[8-8],Layer[9],Layer[10],classifier
0.415536,0.017569,0.222120,0.005280,0.048354,0.000768,0.013984,0.000416,0.183687,0.001440,0.000352,0.917988
0.420017,0.017632,0.202888,0.005217,0.048033,0.000800,0.014529,0.000384,0.185415,0.001536,0.000352,0.904868
0.420145,0.017921,0.202888,0.005152,0.048162,0.000864,0.014240,0.000384,0.170023,0.001536,0.000384,0.890179
0.420432,0.017504,0.203208,0.005120,0.048130,0.000896,0.013889,0.000416,0.167143,0.001664,0.000384,0.888003
0.420209,0.017505,0.203112,0.005088,0.048354,0.000800,0.014016,0.000608,0.162823,0.001376,0.000320,0.882275
0.415664,0.017408,0.202984,0.005056,0.048642,0.000832,0.013889,0.000384,0.169287,0.001504,0.000384,0.884099
0.420881,0.017664,0.203048,0.004768,0.048002,0.000832,0.013729,0.000448,0.160486,0.001504,0.000608,0.879554
0.416529,0.018240,0.221449,0.005152,0.047746,0.000832,0.013793,0.000416,0.178951,0.001344,0.000608,0.914468
0.416272,0.021664,0.202984,0.005121,0.048354,0.000800,0.013664,0.000672,0.173831,0.001568,0.000512,0.893315
0.420241,0.017729,0.203368,0.004832,0.047618,0.000928,0.013664,0.000416,0.174695,0.001408,0.000384,0.894243
0.420304,0.017729,0.203240,0.005088,0.047970,0.000800,0.013761,0.000416,0.184007,0.001536,0.000608,0.904611
0.416496,0.017793,0.203144,0.005056,0.048066,0.000800,0.013793,0.000384,0.165734,0.001504,0.000384,0.882882
0.420400,0.018240,0.203304,0.005280,0.048258,0.000832,0.013825,0.000448,0.171335,0.001504,0.000384,0.892099
0.416528,0.017569,0.202824,0.005056,0.048066,0.000832,0.013696,0.000416,0.168679,0.001472,0.000608,0.884066
0.417201,0.017537,0.220072,0.005248,0.048770,0.000832,0.013729,0.000384,0.173447,0.001408,0.000608,0.908292
0.416112,0.017536,0.203336,0.005312,0.048258,0.000800,0.013825,0.000704,0.170727,0.001440,0.000608,0.887107
0.420145,0.017665,0.203272,0.004800,0.048290,0.000608,0.013632,0.000640,0.164935,0.001408,0.000608,0.884803
0.420465,0.017729,0.203688,0.005344,0.047714,0.000832,0.013728,0.000416,0.171527,0.001248,0.000384,0.891267
0.437521,0.017473,0.203272,0.004992,0.048258,0.000832,0.013568,0.000640,0.177383,0.001408,0.000384,0.913860
0.420177,0.017536,0.202984,0.004801,0.047649,0.000801,0.013408,0.000384,0.167879,0.001536,0.000384,0.885539
0.420304,0.017697,0.203208,0.004992,0.048226,0.000832,0.013601,0.000640,0.170631,0.001472,0.000384,0.889891
0.416848,0.020801,0.220713,0.005312,0.048546,0.000800,0.013697,0.000640,0.183239,0.001344,0.000384,0.921828
0.420304,0.017473,0.203208,0.005248,0.048194,0.000832,0.013857,0.000448,0.180967,0.001472,0.000416,0.900259
