Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],IN[7],INFER[7-9],OUT[9],TEE[7-9],Layer[10],classifier
0.396044,0.017793,0.191877,0.004800,0.047970,0.000832,0.013600,0.107811,0.038241,0.058497,0.207718,0.000864,0.889179
0.401164,0.017697,0.192005,0.004801,0.048097,0.000832,0.013440,0.102499,0.038690,0.060065,0.204262,0.000672,0.889083
0.396684,0.017312,0.191238,0.004896,0.048290,0.000800,0.013472,0.105603,0.037633,0.059778,0.205894,0.000640,0.886202
0.402028,0.017569,0.191685,0.004928,0.048098,0.000832,0.013504,0.109636,0.036353,0.063810,0.212743,0.000768,0.898395
0.395436,0.017600,0.191301,0.004928,0.047842,0.000832,0.013568,0.108611,0.039010,0.060225,0.211046,0.000800,0.892410
0.416620,0.017728,0.192262,0.005088,0.048930,0.001056,0.014048,0.138628,0.045794,0.059202,0.247688,0.001216,0.953756
0.396652,0.017728,0.191814,0.004928,0.047426,0.000864,0.013856,0.109059,0.038977,0.068706,0.219910,0.000736,0.900955
0.396204,0.017409,0.191813,0.004864,0.047458,0.000864,0.013440,0.104931,0.038018,0.062689,0.209158,0.000704,0.888923
0.395084,0.017312,0.191654,0.004992,0.048290,0.000896,0.013504,0.106435,0.038497,0.092611,0.240967,0.000896,0.920443
0.395595,0.017568,0.191622,0.004864,0.048161,0.000864,0.013505,0.106883,0.038945,0.063202,0.212838,0.000864,0.893018
0.395692,0.017760,0.191622,0.004864,0.047873,0.000833,0.013472,0.111363,0.037025,0.064642,0.217350,0.000832,0.897498
0.395756,0.017665,0.191973,0.004896,0.047586,0.000800,0.013440,0.102307,0.041409,0.062433,0.209094,0.000768,0.888090
0.418381,0.017792,0.192198,0.004864,0.047393,0.000832,0.013473,0.109059,0.037729,0.061250,0.211334,0.000704,0.913435
0.395852,0.017632,0.192326,0.004864,0.047202,0.000832,0.013536,0.105827,0.034497,0.062082,0.205542,0.000672,0.885050
0.396684,0.017793,0.191685,0.004800,0.047778,0.000832,0.013568,0.108803,0.034657,0.056865,0.203462,0.000736,0.884666
0.396907,0.017825,0.191462,0.004832,0.047521,0.000864,0.013505,0.110211,0.038689,0.084387,0.236935,0.000800,0.917787
0.396460,0.017761,0.191781,0.004864,0.047458,0.000864,0.013664,0.107459,0.037378,0.061185,0.209126,0.000768,0.889851
0.395852,0.017441,0.191717,0.004896,0.048418,0.000864,0.013856,0.105827,0.037634,0.062817,0.209318,0.000705,0.889403
0.395691,0.017505,0.191494,0.004928,0.048065,0.000864,0.013633,0.106307,0.038433,0.070530,0.218214,0.000992,0.898202
0.415532,0.017920,0.191686,0.004896,0.048386,0.000832,0.013664,0.108995,0.038978,0.062594,0.215079,0.000864,0.916091
0.395979,0.017697,0.192454,0.004864,0.047969,0.000864,0.014017,0.106403,0.039937,0.061762,0.211270,0.001024,0.892954
0.395819,0.017889,0.191462,0.004992,0.047681,0.000864,0.013729,0.104355,0.038209,0.062050,0.207750,0.000736,0.887322
0.395500,0.017760,0.191654,0.004832,0.048354,0.000832,0.013472,0.104707,0.046786,0.089378,0.243783,0.000864,0.923835
0.395692,0.017600,0.191526,0.004928,0.047649,0.000800,0.013473,0.109123,0.038721,0.070018,0.220838,0.000672,0.899450
0.396044,0.017632,0.191590,0.004800,0.048418,0.000864,0.013888,0.107971,0.036097,0.058114,0.205414,0.000736,0.886522
0.396332,0.017696,0.191782,0.004864,0.047426,0.000832,0.013536,0.110083,0.038786,0.061729,0.214407,0.000704,0.894811
0.417581,0.017792,0.191302,0.004864,0.047553,0.000864,0.013537,0.107139,0.043233,0.065954,0.220486,0.000608,0.921883
0.396876,0.017633,0.191909,0.004864,0.047458,0.000832,0.013568,0.109091,0.037890,0.061089,0.211270,0.000704,0.891515
0.395884,0.017569,0.192005,0.004865,0.048033,0.000864,0.013472,0.111076,0.038561,0.059138,0.211943,0.000800,0.892635
0.395788,0.017792,0.191846,0.004896,0.048865,0.000832,0.013537,0.103939,0.038753,0.059042,0.204646,0.000672,0.885306
0.396364,0.017697,0.191365,0.004865,0.047937,0.000832,0.013504,0.106820,0.038625,0.061282,0.210503,0.000672,0.891067
0.395275,0.017633,0.192646,0.004864,0.047617,0.000864,0.013537,0.105027,0.038049,0.063682,0.210694,0.000800,0.890714
0.395340,0.017729,0.192005,0.004833,0.047201,0.000864,0.013504,0.108868,0.037281,0.059330,0.208519,0.000672,0.886747
0.396044,0.017729,0.211462,0.005376,0.047105,0.000864,0.013569,0.109379,0.047522,0.059553,0.220710,0.000704,0.920827
0.396908,0.017600,0.191526,0.004896,0.047458,0.000992,0.013632,0.108483,0.035841,0.058690,0.206214,0.000576,0.887130
0.396204,0.017792,0.192102,0.004896,0.047521,0.000864,0.013473,0.111459,0.038209,0.063298,0.216390,0.000832,0.897338
0.395436,0.017440,0.192198,0.005344,0.048034,0.000864,0.013664,0.100739,0.037377,0.057922,0.199238,0.000768,0.879674
0.395851,0.017665,0.192197,0.005184,0.049505,0.000832,0.013857,0.104067,0.041249,0.061666,0.210310,0.000672,0.892282
0.396396,0.017824,0.191430,0.005184,0.047201,0.000832,0.013793,0.111907,0.035073,0.060002,0.209958,0.000704,0.890138
0.396011,0.017601,0.191749,0.004864,0.047553,0.000832,0.013473,0.109955,0.037569,0.061730,0.212262,0.000704,0.891546
0.395884,0.017856,0.212198,0.005344,0.047937,0.000832,0.014305,0.112195,0.037217,0.085891,0.238535,0.000704,0.941180
0.395755,0.017761,0.191813,0.005281,0.047809,0.000864,0.013633,0.109699,0.036289,0.060578,0.209606,0.000672,0.889210
0.395979,0.017377,0.191494,0.004832,0.047521,0.000832,0.013921,0.110275,0.037313,0.061314,0.212774,0.000704,0.892410
0.396043,0.017825,0.191846,0.004960,0.047777,0.000864,0.013537,0.109795,0.038913,0.058498,0.210182,0.001024,0.890458
0.396331,0.017600,0.191526,0.004928,0.048193,0.000864,0.014305,0.111779,0.035681,0.058754,0.209574,0.000704,0.891034
0.396747,0.017857,0.192070,0.004960,0.048481,0.000864,0.014145,0.114435,0.038657,0.061826,0.218214,0.000864,0.900730
0.395756,0.017761,0.191685,0.004929,0.047969,0.000896,0.014720,0.113540,0.036577,0.058946,0.212167,0.000672,0.893051
0.396524,0.017856,0.222311,0.005376,0.048033,0.000832,0.013825,0.110659,0.038849,0.064482,0.217894,0.000608,0.930715
0.395596,0.017504,0.192198,0.004800,0.047970,0.000864,0.014208,0.112932,0.037633,0.065890,0.219815,0.000672,0.900539
0.396139,0.017761,0.191622,0.005152,0.047809,0.000864,0.013569,0.111139,0.038625,0.063682,0.216998,0.000672,0.897530
0.395083,0.017728,0.192518,0.004896,0.048929,0.000896,0.013761,0.108451,0.034977,0.056674,0.203526,0.000672,0.884666
0.395339,0.017537,0.191846,0.004896,0.048065,0.000864,0.013921,0.107811,0.038913,0.060674,0.210726,0.000832,0.890618
0.396107,0.017665,0.192166,0.004864,0.047393,0.000864,0.013633,0.107203,0.035457,0.058818,0.204806,0.000672,0.884186
0.395691,0.017857,0.191654,0.004864,0.048161,0.000864,0.013537,0.101411,0.033377,0.056833,0.194501,0.000640,0.873881
0.396363,0.017473,0.206214,0.005056,0.047906,0.000832,0.013888,0.115043,0.040898,0.058593,0.217542,0.000864,0.914107
