Layer[0],Layer[1],Layer[2],TEE[3-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.421040,0.017504,0.202760,0.267243,0.000768,0.002272,0.000992,0.000640,0.920868
0.416208,0.017600,0.202728,0.274475,0.000736,0.002336,0.001088,0.000384,0.923620
0.419920,0.017665,0.202440,0.250058,0.000768,0.002112,0.001024,0.000384,0.901411
0.420144,0.017505,0.202792,0.269962,0.000864,0.002752,0.001088,0.000416,0.923204
0.416081,0.017792,0.201800,0.257578,0.000800,0.002048,0.001088,0.000416,0.905028
0.415632,0.017888,0.202184,0.258026,0.000832,0.002016,0.001025,0.000416,0.905284
0.439378,0.017792,0.202664,0.253322,0.000736,0.002208,0.001089,0.000416,0.925477
0.416816,0.017505,0.202248,0.268106,0.000768,0.002081,0.001056,0.000448,0.916740
0.416849,0.017633,0.203112,0.274986,0.000864,0.002272,0.001120,0.000384,0.926021
0.416176,0.017761,0.202856,0.261994,0.000768,0.002336,0.001088,0.000416,0.911427
0.420592,0.017537,0.202824,0.246058,0.000704,0.002304,0.000992,0.000640,0.899683
0.415920,0.017825,0.202248,0.260330,0.000736,0.002144,0.001120,0.000416,0.908419
0.415184,0.017505,0.202408,0.253610,0.000672,0.002144,0.000832,0.000608,0.899043
0.431888,0.017504,0.202664,0.269547,0.000736,0.002016,0.001024,0.000608,0.934372
0.416177,0.017408,0.202504,0.261131,0.000704,0.002112,0.001120,0.000384,0.909508
0.419728,0.017440,0.202568,0.260362,0.000800,0.002848,0.001344,0.000416,0.912868
0.420433,0.017696,0.202087,0.266699,0.000736,0.002048,0.001056,0.000448,0.917860
0.419793,0.017504,0.201928,0.248362,0.000736,0.002880,0.001184,0.000384,0.899683
0.415728,0.017377,0.202760,0.259626,0.000832,0.002176,0.001248,0.000385,0.908676
0.416721,0.017473,0.201863,0.263627,0.000672,0.002080,0.001088,0.000640,0.911972
0.456082,0.017345,0.202312,0.268362,0.000704,0.002497,0.001152,0.000352,0.955846
0.420368,0.017409,0.201992,0.245289,0.000672,0.002112,0.001153,0.000416,0.895108
0.415665,0.017312,0.202280,0.256682,0.000672,0.002080,0.000960,0.000384,0.903268
0.415312,0.017441,0.219401,0.264490,0.000736,0.002016,0.001088,0.000384,0.928676
0.419889,0.017473,0.231593,0.260426,0.000736,0.002944,0.001216,0.000384,0.943845
0.416336,0.017889,0.202920,0.260906,0.000832,0.002273,0.001056,0.000352,0.910116
0.415793,0.017568,0.204808,0.270570,0.000768,0.002976,0.001152,0.000416,0.921988
0.416112,0.017729,0.202632,0.269898,0.000896,0.002144,0.001024,0.000417,0.918756
0.417904,0.017888,0.204584,0.266027,0.000896,0.003232,0.001312,0.000576,0.920996
0.420625,0.018465,0.203496,0.274987,0.000864,0.003136,0.001312,0.000416,0.932293
0.433329,0.017569,0.203656,0.272075,0.000800,0.002240,0.001120,0.000384,0.938981
0.419985,0.017729,0.202599,0.269610,0.000704,0.002176,0.001248,0.000352,0.921444
0.415760,0.017473,0.202440,0.266250,0.000705,0.003168,0.001248,0.000416,0.914980
0.416176,0.017761,0.202184,0.287851,0.000832,0.002401,0.001216,0.000384,0.936517
0.420529,0.017921,0.202280,0.261546,0.000768,0.002368,0.001248,0.000416,0.914884
0.416784,0.017761,0.202344,0.280011,0.000704,0.003232,0.001216,0.000608,0.929732
0.416336,0.017505,0.202312,0.249322,0.000832,0.002240,0.001152,0.000640,0.897603
0.435825,0.017793,0.202472,0.276043,0.000864,0.002496,0.001088,0.000352,0.946245
0.423472,0.017697,0.204872,0.263338,0.000768,0.002528,0.001216,0.000416,0.922628
0.421393,0.017824,0.202600,0.272811,0.000800,0.002400,0.001152,0.000384,0.927908
0.421201,0.018368,0.202440,0.335086,0.000832,0.002432,0.001088,0.000416,0.990119
0.420753,0.017793,0.202280,0.263658,0.000736,0.002304,0.001152,0.000384,0.916708
0.416656,0.017889,0.202344,0.258986,0.000704,0.002048,0.001120,0.000416,0.907683
0.421136,0.017632,0.202152,0.276587,0.000704,0.002240,0.001120,0.000384,0.930724
0.420881,0.017633,0.202568,0.260650,0.000800,0.002208,0.001088,0.000416,0.913764
0.420688,0.017793,0.202120,0.258410,0.000704,0.002240,0.001152,0.000384,0.910499
0.420241,0.017761,0.202088,0.270026,0.000768,0.002688,0.001184,0.000449,0.921893
0.415984,0.017761,0.221321,0.256586,0.000736,0.002144,0.001216,0.000384,0.924644
0.416240,0.017633,0.202184,0.261738,0.000704,0.002432,0.001248,0.000384,0.911459
0.418512,0.017472,0.202568,0.260170,0.000768,0.002144,0.001184,0.000416,0.911012
0.420049,0.017761,0.201992,0.259818,0.000704,0.002304,0.001184,0.000352,0.911684
0.415601,0.017473,0.201767,0.255531,0.000768,0.002304,0.001088,0.000384,0.901988
0.415824,0.017536,0.202056,0.257098,0.000672,0.002272,0.001184,0.000417,0.904068
0.416048,0.017473,0.202408,0.248426,0.000704,0.002208,0.001184,0.000384,0.896931
0.433553,0.017632,0.202472,0.264651,0.000864,0.002176,0.001024,0.000416,0.930533
0.420593,0.017632,0.202503,0.261259,0.000672,0.002112,0.001120,0.000384,0.913636
0.415408,0.017729,0.202376,0.269898,0.000832,0.002304,0.001056,0.000352,0.917379
0.420432,0.017729,0.202440,0.284363,0.000768,0.002912,0.001216,0.000352,0.937956
0.417041,0.017728,0.202536,0.270251,0.000768,0.003616,0.001344,0.000416,0.922660
0.421585,0.017601,0.202312,0.265674,0.000736,0.002432,0.001216,0.000384,0.918948
0.415473,0.017633,0.202535,0.267370,0.000704,0.002240,0.001120,0.000384,0.915204
0.429008,0.017664,0.202632,0.253674,0.000704,0.002432,0.001152,0.000352,0.914468
0.415697,0.017632,0.203015,0.245194,0.000704,0.002784,0.001024,0.000608,0.894275
0.418961,0.017729,0.202632,0.259562,0.000704,0.002080,0.001088,0.000384,0.909604
0.415633,0.017696,0.202024,0.272235,0.000672,0.001952,0.001024,0.000416,0.918020
0.420049,0.017857,0.202119,0.261067,0.000672,0.001984,0.001120,0.000352,0.911268
0.415760,0.017889,0.202664,0.242954,0.000704,0.002048,0.001088,0.000384,0.890147
0.417393,0.017728,0.204136,0.266251,0.000704,0.002304,0.001184,0.000416,0.919268
0.436593,0.017729,0.202760,0.257514,0.000832,0.002208,0.001056,0.000608,0.927076
0.415696,0.017473,0.202568,0.276843,0.000704,0.002176,0.001024,0.000384,0.924324
0.419921,0.017761,0.201928,0.256010,0.000864,0.002976,0.001216,0.000416,0.908868
0.420688,0.017440,0.219817,0.253770,0.000672,0.002016,0.001088,0.000416,0.922916
0.421681,0.017441,0.203400,0.246985,0.000672,0.002016,0.001088,0.000384,0.900292
0.420752,0.017505,0.202536,0.248874,0.000736,0.002176,0.000992,0.000416,0.900675
0.419824,0.017472,0.202536,0.256010,0.000832,0.002080,0.001025,0.000352,0.907108
0.432817,0.017696,0.203912,0.267979,0.000704,0.002272,0.001088,0.000384,0.933604
0.420784,0.017504,0.202504,0.266155,0.000736,0.002080,0.001120,0.000608,0.918468
0.420913,0.017344,0.202823,0.255850,0.000768,0.003136,0.001216,0.000384,0.910180
0.420721,0.017504,0.219049,0.271339,0.000832,0.002080,0.001152,0.000416,0.940357
0.415952,0.017441,0.201960,0.262730,0.000736,0.002081,0.001152,0.000416,0.908740
0.419696,0.017281,0.202312,0.250122,0.000672,0.002080,0.001024,0.000352,0.899331
0.420784,0.017345,0.202248,0.255722,0.000704,0.002112,0.001120,0.000416,0.906307
0.419857,0.017313,0.203016,0.259338,0.000704,0.001824,0.001056,0.000288,0.910084
0.415600,0.017344,0.202312,0.247402,0.000640,0.002080,0.001120,0.000352,0.894051
0.415409,0.017344,0.202152,0.261419,0.000736,0.001952,0.001024,0.000416,0.907076
0.420112,0.017473,0.220457,0.272298,0.000704,0.002081,0.001152,0.000480,0.941893
0.420753,0.017505,0.202376,0.256362,0.000800,0.002880,0.001056,0.000640,0.909924
0.417041,0.017537,0.203336,0.252394,0.000800,0.002112,0.001216,0.000608,0.903460
0.420561,0.017953,0.202216,0.243049,0.000832,0.002112,0.001120,0.000384,0.895875
0.420528,0.017793,0.202248,0.241545,0.000800,0.002849,0.001152,0.000384,0.894467
