Layer[0],Layer[1],Layer[2],IN[3],INFER[3-5],OUT[5],TEE[3-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.395307,0.017729,0.191878,0.138884,0.087266,0.062370,0.291880,0.015073,0.000512,0.001600,0.000992,0.000352,0.921723
0.411212,0.017793,0.191590,0.141828,0.098371,0.062818,0.306409,0.014240,0.000768,0.001408,0.000832,0.000288,0.951036
0.394795,0.017793,0.191430,0.137412,0.086146,0.068130,0.294632,0.014145,0.000512,0.001408,0.000992,0.000256,0.921243
0.394795,0.017697,0.191334,0.139140,0.086786,0.062594,0.291656,0.014657,0.000480,0.001536,0.001024,0.000320,0.919739
0.395212,0.017728,0.191654,0.157285,0.095778,0.063490,0.319625,0.014561,0.000800,0.001472,0.001120,0.000352,0.949500
0.395372,0.017569,0.191493,0.139396,0.100834,0.061153,0.304489,0.015169,0.000512,0.001440,0.000992,0.000352,0.934012
0.395308,0.017728,0.191558,0.135492,0.086563,0.063746,0.289193,0.015136,0.000736,0.001472,0.000992,0.000352,0.918651
0.395404,0.017728,0.191590,0.132356,0.086562,0.059618,0.281800,0.014337,0.000768,0.001472,0.001024,0.000352,0.910811
0.395179,0.017504,0.191558,0.136068,0.086466,0.063330,0.288872,0.014497,0.000512,0.001504,0.000928,0.000352,0.917083
0.394860,0.017664,0.191814,0.137636,0.087427,0.061346,0.289641,0.014656,0.000480,0.001440,0.000960,0.000320,0.918427
0.395468,0.017441,0.191717,0.139013,0.086082,0.060706,0.288905,0.014656,0.000512,0.001345,0.000928,0.000352,0.918876
0.396172,0.017601,0.208262,0.128772,0.097890,0.061665,0.291496,0.015649,0.000544,0.001536,0.001280,0.000352,0.940444
0.395403,0.017505,0.192166,0.142052,0.087042,0.063810,0.296040,0.014273,0.000512,0.001504,0.000992,0.000384,0.924411
0.395244,0.017568,0.191910,0.138436,0.088995,0.060481,0.291273,0.014592,0.000512,0.001504,0.001056,0.000352,0.920571
0.401836,0.018401,0.194309,0.194566,0.114372,0.072994,0.386156,0.016736,0.000960,0.002016,0.002592,0.000833,1.034207
0.397260,0.017696,0.192486,0.141444,0.092547,0.062786,0.300233,0.015680,0.000704,0.001824,0.001376,0.000352,0.934524
0.395596,0.017696,0.192070,0.136484,0.090659,0.062242,0.292617,0.015200,0.000544,0.001536,0.001376,0.000352,0.923707
0.396651,0.017697,0.192742,0.139684,0.089698,0.061858,0.294952,0.015233,0.000512,0.001568,0.001312,0.000352,0.927995
0.413389,0.017664,0.192454,0.141796,0.086435,0.071906,0.303753,0.014816,0.000768,0.001536,0.001312,0.000320,0.954077
0.396107,0.017632,0.192006,0.141444,0.085955,0.063905,0.294792,0.015873,0.000544,0.001536,0.001248,0.000352,0.927067
0.396331,0.017761,0.191814,0.147396,0.090083,0.064482,0.305513,0.016320,0.000544,0.001504,0.001216,0.000384,0.938875
