Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],IN[6],INFER[6-7],OUT[7],TEE[6-7],Layer[8],Layer[9],Layer[10],classifier
0.399852,0.017633,0.191493,0.005088,0.048354,0.000800,0.110211,0.050050,0.060993,0.224263,0.002368,0.001536,0.000672,0.898555
0.395244,0.018369,0.204582,0.005216,0.049217,0.000800,0.103331,0.045730,0.066050,0.218439,0.005408,0.001152,0.000480,0.905627
0.395435,0.017697,0.192165,0.005121,0.048161,0.001088,0.113699,0.047361,0.060610,0.225095,0.002560,0.001152,0.000480,0.896506
0.399308,0.017824,0.191430,0.005088,0.048033,0.001056,0.110212,0.045633,0.059138,0.218503,0.002336,0.001536,0.000416,0.892762
0.396268,0.017665,0.192005,0.005185,0.049025,0.000832,0.110627,0.048674,0.060834,0.223079,0.002144,0.001440,0.000480,0.895067
0.396972,0.017472,0.191622,0.004864,0.048769,0.000864,0.095202,0.048802,0.061250,0.209446,0.003168,0.000928,0.000352,0.881114
0.399659,0.017825,0.191238,0.005088,0.048737,0.000832,0.103235,0.065730,0.068130,0.240263,0.003104,0.001344,0.000416,0.915675
0.394860,0.017824,0.191782,0.005088,0.048578,0.001024,0.133796,0.064226,0.065442,0.268296,0.003168,0.001184,0.000352,0.939164
0.395468,0.017952,0.210374,0.005505,0.048321,0.000864,0.108867,0.063362,0.061314,0.236743,0.002304,0.001312,0.000384,0.926619
0.396300,0.017408,0.191622,0.004864,0.048098,0.000800,0.095746,0.052161,0.057826,0.209062,0.002240,0.001152,0.000480,0.877978
0.395980,0.017824,0.192262,0.005312,0.047906,0.001024,0.110979,0.048513,0.060002,0.222854,0.002240,0.001248,0.000608,0.893754
0.395564,0.017633,0.192357,0.005344,0.047970,0.001056,0.105859,0.046561,0.060642,0.216582,0.002496,0.001184,0.000384,0.887482
0.415308,0.017728,0.191686,0.005152,0.047586,0.001056,0.111299,0.048897,0.061346,0.224518,0.002368,0.001504,0.000641,0.914587
