Layer[0],TEE[1-8],Layer[9],Layer[10],classifier
0.416241,0.775807,0.001088,0.000320,1.199057
0.416048,0.764926,0.001152,0.000384,1.187983
0.415985,0.750750,0.001281,0.000384,1.173520
0.415824,0.779232,0.001152,0.000320,1.202032
0.415793,0.761566,0.001216,0.000320,1.184368
0.417073,0.768415,0.001408,0.000416,1.193936
0.430193,0.754847,0.001408,0.000384,1.193456
0.416400,0.767647,0.001344,0.000416,1.191952
0.416401,0.750910,0.001248,0.000416,1.175247
0.432945,0.752191,0.001440,0.000320,1.192432
0.416112,0.776895,0.001120,0.000320,1.200752
0.415473,0.755774,0.001152,0.000352,1.178383
0.415985,0.762111,0.001216,0.000416,1.185232
0.415473,0.755166,0.000992,0.000416,1.176879
0.416209,0.764415,0.001152,0.000384,1.187216
0.416017,0.776351,0.001248,0.000384,1.201489
0.418321,0.774047,0.001312,0.000448,1.200720
0.417649,0.830498,0.001472,0.000416,1.257139
0.415665,0.802240,0.001536,0.000416,1.226801
0.416337,0.760767,0.001280,0.000352,1.184848
0.434866,0.765535,0.001280,0.000384,1.209041
0.416688,0.767999,0.001377,0.000416,1.193168
0.416912,0.769855,0.001312,0.000352,1.194736
0.417008,0.772575,0.001152,0.000416,1.197584
0.417777,0.767839,0.001376,0.000352,1.193328
0.415889,0.812481,0.001568,0.000480,1.237810
0.417553,0.773119,0.001472,0.000448,1.199056
0.416561,0.769887,0.001344,0.000416,1.195600
0.416529,0.793888,0.001472,0.000384,1.218673
0.416464,0.760415,0.001248,0.000416,1.184975
0.417712,0.774336,0.001376,0.000384,1.200528
0.433745,0.773663,0.001344,0.000384,1.215601
0.416561,0.773759,0.001313,0.000416,1.198865
0.417361,0.774528,0.001344,0.000384,1.200593
0.416593,0.767807,0.001376,0.000352,1.192944
0.415888,0.782719,0.001344,0.000384,1.207600
0.415761,0.796288,0.001568,0.000448,1.221233
0.417233,0.772319,0.001440,0.000448,1.198576
0.416817,0.773503,0.001344,0.000448,1.199184
0.416593,0.791712,0.001344,0.000384,1.216497
0.415665,0.762687,0.001280,0.000448,1.186352
0.416593,0.803776,0.001312,0.000640,1.228817
0.432689,0.796928,0.001408,0.000352,1.237970
0.415505,0.771871,0.001312,0.000384,1.195696
0.416497,0.773760,0.001312,0.000416,1.198481
0.416209,0.775199,0.001312,0.000384,1.199856
