Layer[0],TEE[1-9],Layer[10],classifier
0.420849,0.787167,0.000961,1.215985
0.422129,0.783199,0.000832,1.212336
0.420657,0.783647,0.000800,1.211344
0.415984,0.781472,0.000896,1.203888
0.420561,0.799328,0.000928,1.227057
0.420977,0.782528,0.000864,1.210545
0.420177,0.776383,0.000928,1.203984
0.420465,0.831521,0.000672,1.258802
0.416049,0.784095,0.000768,1.208304
0.415409,0.783359,0.000672,1.206128
0.436434,0.778719,0.001120,1.223505
0.420720,0.784319,0.000640,1.211728
0.420977,0.774143,0.000864,1.201648
0.420080,0.777727,0.000640,1.205168
0.419985,0.811200,0.000640,1.237905
0.416817,0.802880,0.000640,1.226769
0.416241,0.804512,0.000832,1.228338
0.416497,0.818945,0.000640,1.242770
0.442290,0.811777,0.001088,1.261715
0.420721,0.776383,0.000928,1.203985
0.421521,0.784192,0.000864,1.213937
0.420688,0.792639,0.000768,1.220432
0.420400,0.770814,0.000896,1.198096
0.421201,0.799552,0.000896,1.227954
0.420625,0.777343,0.000832,1.204688
0.421361,0.761983,0.001024,1.190224
0.420689,0.807713,0.000704,1.234866
0.420369,0.782783,0.000704,1.210640
0.420240,0.795327,0.000640,1.222768
0.440050,0.783903,0.000704,1.231409
0.416497,0.820289,0.000640,1.244914
0.420753,0.788159,0.000704,1.215825
0.419793,0.782943,0.000640,1.209584
0.419761,0.777695,0.000736,1.204272
0.420625,0.824993,0.000768,1.252402
0.420209,0.781535,0.000736,1.208528
0.420016,0.806560,0.000672,1.233297
0.421393,0.888804,0.001312,1.323669
0.419057,0.774015,0.000768,1.200080
0.420497,0.769631,0.000704,1.196592
