Layer[0],IN[1],INFER[1-1],OUT[1],TEE[1-1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.394572,0.168709,0.048322,0.062178,0.282953,0.193157,0.005569,0.048001,0.000576,0.013568,0.000416,0.001472,0.001185,0.000608,0.950205
0.394284,0.146948,0.048994,0.062978,0.262216,0.193158,0.005664,0.048225,0.000576,0.029665,0.000480,0.001536,0.001152,0.000576,0.946332
0.394731,0.158629,0.047874,0.060737,0.270952,0.194502,0.005376,0.048354,0.000544,0.013600,0.000384,0.001536,0.001120,0.000640,0.939739
0.394860,0.160804,0.048738,0.061794,0.274664,0.192390,0.005376,0.048545,0.000576,0.014145,0.000384,0.001472,0.001184,0.000608,0.943100
0.394572,0.152709,0.047489,0.061378,0.265160,0.193318,0.005568,0.048673,0.000576,0.013793,0.000384,0.001536,0.001152,0.000416,0.932988
0.417036,0.169029,0.059970,0.064962,0.298473,0.192838,0.005376,0.049089,0.000576,0.014113,0.000352,0.001408,0.001184,0.000640,0.990109
0.394795,0.171621,0.049921,0.063874,0.288809,0.192838,0.009376,0.047969,0.000832,0.013921,0.000416,0.001440,0.001216,0.000384,0.960380
0.394987,0.157061,0.050370,0.064706,0.275753,0.198181,0.005440,0.047905,0.000992,0.013825,0.000608,0.001472,0.001216,0.000384,0.949884
0.398956,0.188006,0.068546,0.070306,0.330378,0.193158,0.005344,0.048481,0.000608,0.013729,0.000352,0.001472,0.001248,0.000416,1.002270
0.395883,0.160644,0.048258,0.062242,0.274888,0.195173,0.005473,0.048609,0.000832,0.013793,0.000384,0.001536,0.001152,0.000576,0.947036
0.399020,0.150213,0.047361,0.070690,0.271592,0.192870,0.005568,0.048194,0.000608,0.013504,0.000352,0.001472,0.001120,0.000608,0.943164
0.394059,0.162020,0.049762,0.066274,0.281416,0.210694,0.005344,0.048162,0.000576,0.013568,0.000320,0.001536,0.001152,0.000608,0.966940
0.394859,0.169061,0.049537,0.064578,0.286408,0.192710,0.005664,0.048353,0.000544,0.013985,0.000416,0.001472,0.001120,0.000352,0.954108
0.398795,0.139557,0.049153,0.065058,0.257352,0.193286,0.005248,0.048513,0.000544,0.013633,0.000384,0.001504,0.001024,0.000352,0.928571
0.394284,0.148644,0.048770,0.068866,0.269640,0.193478,0.005184,0.047649,0.000608,0.013665,0.000384,0.001504,0.001152,0.000352,0.935516
0.411756,0.148324,0.060194,0.069538,0.281384,0.192326,0.005216,0.047969,0.000576,0.013665,0.000384,0.001472,0.000992,0.000320,0.964253
0.395372,0.148100,0.050338,0.064802,0.266568,0.192165,0.005057,0.047233,0.000608,0.013696,0.000384,0.001440,0.001056,0.000544,0.931836
0.394700,0.153092,0.047714,0.061410,0.265448,0.192677,0.009441,0.047329,0.000832,0.013761,0.000416,0.001664,0.001088,0.000512,0.936636
0.394604,0.186246,0.081954,0.069410,0.341098,0.193510,0.005600,0.047457,0.000800,0.013697,0.000384,0.001440,0.001024,0.000384,1.007902
0.394732,0.162117,0.049953,0.064482,0.279784,0.192550,0.005600,0.047521,0.000608,0.013472,0.000384,0.001504,0.001056,0.000352,0.945340
0.398603,0.166117,0.047554,0.062338,0.279017,0.192805,0.005473,0.047617,0.000576,0.013600,0.000352,0.001536,0.001024,0.000320,0.949148
0.394412,0.154405,0.048449,0.061890,0.268008,0.215846,0.005184,0.047137,0.000576,0.013504,0.000384,0.001472,0.001056,0.000320,0.957437
0.400524,0.171813,0.052866,0.088322,0.316937,0.196614,0.005792,0.048706,0.000768,0.014176,0.000384,0.001824,0.002400,0.000384,0.999965
0.395884,0.150885,0.049121,0.061090,0.264968,0.193670,0.005152,0.049697,0.000608,0.014145,0.000416,0.001504,0.001184,0.000544,0.936732
0.399660,0.157604,0.048386,0.061570,0.270856,0.193990,0.005120,0.048033,0.000608,0.013537,0.000384,0.001440,0.000960,0.000384,0.942428
0.400556,0.159044,0.050562,0.067330,0.280360,0.192774,0.005216,0.047521,0.000608,0.013537,0.000384,0.001504,0.000928,0.000256,0.952060
