Layer[0],Layer[1],TEE[2-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.420657,0.017568,0.723709,0.000800,0.014113,0.000352,0.001504,0.001216,0.000352,1.189679
0.420273,0.017537,0.755229,0.000736,0.014080,0.000384,0.001504,0.001152,0.000384,1.219568
0.415857,0.017376,0.734205,0.000769,0.013824,0.000384,0.001472,0.001120,0.000352,1.193039
0.416176,0.017441,0.733661,0.000864,0.013889,0.000544,0.001536,0.001184,0.000320,1.193903
0.415569,0.017249,0.750045,0.000833,0.014048,0.000576,0.001536,0.001216,0.000384,1.211056
0.415953,0.017537,0.732381,0.000832,0.014048,0.000576,0.001472,0.001120,0.000384,1.192847
0.419984,0.017537,0.733981,0.000800,0.014049,0.000576,0.001600,0.001216,0.000352,1.198383
0.415376,0.017665,0.751294,0.000864,0.014017,0.000352,0.001376,0.001152,0.000384,1.210672
0.420336,0.017569,0.732701,0.000800,0.013857,0.000576,0.001504,0.001216,0.000384,1.197135
0.415600,0.017601,0.736477,0.000832,0.015521,0.000416,0.001440,0.000992,0.000352,1.197999
0.435889,0.017441,0.748510,0.000800,0.013920,0.000416,0.001505,0.001120,0.000416,1.228241
0.419857,0.017473,0.732509,0.000832,0.014081,0.000384,0.001344,0.001056,0.000384,1.196336
0.415440,0.017313,0.731069,0.000832,0.033025,0.000480,0.001536,0.001312,0.000384,1.209391
0.415537,0.017249,0.723068,0.000832,0.014113,0.000352,0.001344,0.001056,0.000352,1.181871
0.414832,0.017665,0.715228,0.000800,0.014785,0.000544,0.001440,0.001120,0.000416,1.174478
0.416049,0.017665,0.748765,0.000864,0.014208,0.000352,0.001440,0.000960,0.000384,1.209168
0.415857,0.017729,0.728348,0.000736,0.013856,0.000352,0.001408,0.001056,0.000384,1.187343
0.415056,0.017281,0.727869,0.000704,0.013921,0.000384,0.001408,0.001152,0.000384,1.185455
0.420209,0.017633,0.749533,0.000736,0.014753,0.000416,0.001472,0.000896,0.000352,1.214256
0.416496,0.017569,0.738781,0.000768,0.014145,0.000384,0.001504,0.001056,0.000352,1.199983
0.417521,0.017536,0.733981,0.001088,0.015328,0.000416,0.001472,0.001472,0.000384,1.197552
0.433457,0.017729,0.731901,0.000704,0.015232,0.000576,0.001537,0.001056,0.000384,1.210864
0.416368,0.017473,0.733469,0.000800,0.015553,0.000384,0.001504,0.000992,0.000384,1.194671
0.417009,0.017185,0.725341,0.000736,0.015360,0.000352,0.001472,0.001440,0.000416,1.187855
0.415888,0.017440,0.731709,0.000800,0.015809,0.000608,0.001472,0.001088,0.000416,1.192911
0.420977,0.017633,0.731549,0.000864,0.014721,0.000608,0.001504,0.001184,0.000352,1.196656
0.416240,0.017408,0.750558,0.000864,0.014369,0.000352,0.001408,0.001536,0.000384,1.211440
0.420944,0.017697,0.726941,0.000864,0.016225,0.000384,0.001408,0.001184,0.000320,1.193935
0.416304,0.017441,0.735229,0.001280,0.014273,0.000384,0.001472,0.001216,0.000352,1.196303
0.415696,0.017633,0.755998,0.000864,0.015553,0.000608,0.001504,0.001408,0.000384,1.219696
0.417424,0.017633,0.734269,0.000960,0.015841,0.000704,0.001440,0.001472,0.000416,1.197903
0.416464,0.017504,0.730269,0.001152,0.015489,0.000608,0.001376,0.001120,0.000384,1.192655
0.435089,0.017441,0.746333,0.000768,0.014208,0.000352,0.001344,0.001248,0.000384,1.225904
0.415665,0.017568,0.730045,0.001184,0.014849,0.000672,0.001440,0.001088,0.000384,1.190927
0.421360,0.017537,0.736349,0.001120,0.014689,0.000416,0.001440,0.001280,0.000352,1.202992
0.416625,0.017569,0.732221,0.000864,0.014304,0.000576,0.001408,0.000960,0.000384,1.193295
0.420081,0.017536,0.725437,0.000960,0.014721,0.000416,0.001408,0.000928,0.000384,1.189679
0.416528,0.017441,0.741053,0.000992,0.014337,0.000576,0.001472,0.001056,0.000352,1.202095
0.419825,0.017504,0.726109,0.000832,0.013985,0.000384,0.001440,0.001088,0.000352,1.189359
0.415569,0.017473,0.739229,0.000960,0.014337,0.000352,0.001408,0.001056,0.000416,1.199472
0.421424,0.017665,0.756414,0.000800,0.013985,0.000384,0.001536,0.001088,0.000416,1.221680
0.416177,0.017505,0.723228,0.000832,0.013889,0.000544,0.001504,0.001056,0.000384,1.183151
0.421328,0.017505,0.736093,0.000736,0.014209,0.000384,0.001472,0.000992,0.000352,1.201743
0.444562,0.017761,0.730909,0.000736,0.014048,0.000576,0.001504,0.001056,0.000416,1.220049
0.416336,0.017537,0.725757,0.000768,0.013889,0.000384,0.001440,0.000992,0.000352,1.186095
0.416688,0.017665,0.733341,0.000864,0.013921,0.000416,0.001440,0.001120,0.000384,1.194383
0.433361,0.017505,0.732861,0.000896,0.014145,0.000416,0.001472,0.000960,0.000384,1.211152
0.420593,0.017569,0.740701,0.000832,0.014785,0.000608,0.001440,0.000960,0.000384,1.206384
0.416592,0.017473,0.747806,0.000864,0.014304,0.000352,0.001376,0.001024,0.000384,1.208271
0.416177,0.017505,0.733885,0.000960,0.014112,0.000577,0.001536,0.001088,0.000384,1.195312
0.420081,0.017473,0.731901,0.000768,0.013856,0.000384,0.001504,0.001248,0.000385,1.195056
0.418961,0.017921,0.786431,0.000896,0.015169,0.000608,0.001856,0.002240,0.000640,1.259154
0.416816,0.017440,0.736733,0.000897,0.015488,0.000672,0.001856,0.001408,0.000352,1.200911
0.417072,0.017665,0.730589,0.000800,0.014113,0.000576,0.001504,0.001056,0.000352,1.191951
