Layer[0],Layer[1],Layer[2],IN[3],INFER[3-3],OUT[3],TEE[3-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.421292,0.017825,0.192453,0.138500,0.036993,0.059425,0.238407,0.048674,0.001024,0.013568,0.000384,0.001504,0.001472,0.000384,0.944828
0.396652,0.017600,0.191398,0.139236,0.037537,0.060898,0.240999,0.048609,0.001056,0.013633,0.000352,0.001504,0.001216,0.000352,0.921019
0.398092,0.017792,0.191590,0.139076,0.036481,0.059298,0.238375,0.048097,0.000832,0.013665,0.000384,0.001440,0.001184,0.000384,0.919931
0.396684,0.017600,0.191398,0.138116,0.036769,0.087203,0.265896,0.049121,0.000864,0.013665,0.000384,0.001504,0.001248,0.000352,0.946460
0.396268,0.017985,0.191877,0.137316,0.035905,0.061570,0.237831,0.047617,0.000832,0.013632,0.000416,0.001440,0.001185,0.000352,0.917084
0.395563,0.017729,0.191878,0.137636,0.035617,0.060418,0.237063,0.048065,0.000832,0.013697,0.000352,0.001440,0.001184,0.000384,0.916251
0.397324,0.017408,0.194374,0.133796,0.039553,0.063906,0.240391,0.048257,0.000864,0.013601,0.000416,0.001536,0.001216,0.000384,0.924123
0.412204,0.017664,0.191846,0.145124,0.046049,0.062018,0.256487,0.047554,0.000864,0.013600,0.000352,0.001472,0.001504,0.000352,0.951708
0.395947,0.017729,0.192006,0.125923,0.034625,0.060290,0.224230,0.047586,0.000896,0.013600,0.000384,0.001504,0.001504,0.000352,0.903706
0.395948,0.017504,0.191941,0.141476,0.035553,0.060417,0.240807,0.047682,0.001088,0.013696,0.000352,0.001536,0.001568,0.000352,0.920283
0.396236,0.017857,0.210214,0.140580,0.052034,0.061857,0.257575,0.048034,0.001120,0.013632,0.000352,0.001440,0.001441,0.000320,0.956445
0.395628,0.017377,0.192357,0.138020,0.033921,0.058273,0.233223,0.047810,0.000832,0.013568,0.000416,0.001504,0.001376,0.000416,0.911931
0.396044,0.017601,0.192005,0.141445,0.035233,0.060545,0.240712,0.047617,0.000832,0.013600,0.000416,0.001472,0.001473,0.000384,0.920156
0.396651,0.017505,0.192006,0.137476,0.036641,0.058786,0.236359,0.047905,0.000864,0.013600,0.000384,0.001472,0.001408,0.000384,0.916091
0.395627,0.017601,0.191558,0.135620,0.033697,0.058594,0.231015,0.047745,0.000832,0.013600,0.000384,0.001472,0.001601,0.000384,0.909819
0.396076,0.018016,0.191462,0.138628,0.036321,0.064642,0.242663,0.047874,0.001088,0.013568,0.000352,0.001504,0.001696,0.000352,0.922715
0.397036,0.017888,0.191782,0.133764,0.044961,0.063458,0.245671,0.049186,0.000928,0.013632,0.000384,0.001472,0.001504,0.000416,0.928219
0.427373,0.017729,0.191781,0.142021,0.034913,0.058881,0.239207,0.047842,0.000864,0.013696,0.000608,0.001472,0.001568,0.000352,0.951100
0.396588,0.017408,0.192006,0.133700,0.033985,0.058818,0.229703,0.047873,0.000736,0.013664,0.000352,0.001472,0.001600,0.000352,0.909179
0.396395,0.017889,0.191846,0.137508,0.035329,0.060194,0.236135,0.047809,0.001056,0.013633,0.000384,0.001504,0.001216,0.000352,0.915739
0.396108,0.017792,0.191558,0.124035,0.034721,0.093218,0.255303,0.047714,0.001120,0.013568,0.000384,0.001504,0.001408,0.000416,0.934523
