Layer[0],Layer[1],Layer[2],Layer[3],TEE[4-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.420433,0.017857,0.202120,0.005280,0.237417,0.001120,0.014721,0.000608,0.001472,0.000992,0.000384,0.911332
0.417232,0.017697,0.202696,0.005248,0.229801,0.000928,0.014753,0.000416,0.001536,0.001120,0.000576,0.900451
0.416369,0.017504,0.203816,0.004897,0.226921,0.000928,0.014784,0.000640,0.001472,0.001056,0.000384,0.897507
0.420272,0.017472,0.202216,0.004832,0.237418,0.001024,0.015008,0.000672,0.001472,0.001120,0.000416,0.911172
0.420497,0.021601,0.203080,0.005280,0.229865,0.001024,0.016449,0.000384,0.001504,0.001088,0.000384,0.990247
0.421328,0.018241,0.203464,0.005312,0.242090,0.000864,0.014336,0.000416,0.001504,0.001056,0.000384,0.918308
0.421457,0.017632,0.202856,0.004865,0.233993,0.000864,0.014560,0.000416,0.001505,0.001056,0.000384,0.908420
0.420721,0.017697,0.202248,0.005312,0.267242,0.000864,0.014593,0.000448,0.001504,0.001120,0.000320,0.940997
0.420144,0.017569,0.203048,0.005312,0.234601,0.000928,0.014689,0.000384,0.001536,0.001120,0.000384,0.909891
0.416081,0.017792,0.203528,0.005121,0.224648,0.000928,0.014304,0.000384,0.001472,0.001120,0.000384,0.895619
0.420401,0.017728,0.202696,0.005281,0.246793,0.000928,0.015201,0.000608,0.001440,0.001152,0.000384,0.921444
0.432785,0.017729,0.203144,0.005312,0.247274,0.000896,0.014625,0.000416,0.001472,0.000992,0.000384,0.933541
0.420593,0.017665,0.203080,0.005312,0.245801,0.000864,0.014209,0.000384,0.001504,0.001152,0.000384,0.919556
0.420785,0.017920,0.203144,0.005377,0.250153,0.000929,0.014272,0.000416,0.001440,0.001280,0.000384,0.925828
0.420368,0.017569,0.202792,0.005312,0.257898,0.000928,0.014305,0.000608,0.001472,0.001344,0.000384,0.932484
0.420688,0.017601,0.202088,0.004832,0.222057,0.001152,0.014337,0.000608,0.001440,0.001152,0.000544,0.895395
0.415185,0.017697,0.202183,0.004865,0.236361,0.000896,0.014305,0.000384,0.001472,0.001088,0.000352,0.903236
0.415569,0.017760,0.203016,0.004865,0.239529,0.000832,0.014145,0.000416,0.001472,0.001056,0.000320,0.907876
0.449138,0.017696,0.202920,0.004897,0.237257,0.001248,0.014401,0.000416,0.001504,0.001440,0.000352,0.940997
0.420273,0.017633,0.204168,0.005344,0.222248,0.000832,0.014688,0.000384,0.001504,0.001440,0.000384,0.897795
0.417456,0.017601,0.202856,0.005472,0.232617,0.000832,0.014785,0.000384,0.001536,0.001024,0.000416,0.903459
0.416784,0.017569,0.221769,0.005760,0.229737,0.000992,0.014369,0.000416,0.001536,0.001408,0.000384,0.919556
0.420241,0.017601,0.202248,0.005376,0.231817,0.000960,0.014433,0.000672,0.001472,0.001024,0.000384,0.905220
0.420240,0.017569,0.202504,0.005504,0.232393,0.000864,0.014401,0.000384,0.001504,0.001184,0.000352,0.905859
0.421200,0.018176,0.204104,0.005280,0.232554,0.000960,0.014688,0.000608,0.001440,0.001504,0.000384,0.909923
0.420305,0.017793,0.203144,0.004832,0.220200,0.000896,0.014529,0.000352,0.001472,0.001184,0.000352,0.893155
0.420496,0.017761,0.202632,0.004896,0.233705,0.000896,0.014272,0.000416,0.001472,0.001120,0.000384,0.907107
0.420945,0.017537,0.201735,0.005249,0.220392,0.000864,0.014273,0.000384,0.001440,0.001120,0.000384,0.893059
0.417232,0.017792,0.222953,0.005568,0.237002,0.000992,0.014368,0.000352,0.001504,0.001056,0.000384,0.929028
0.420625,0.017569,0.202216,0.005312,0.228713,0.000896,0.014912,0.000384,0.001569,0.001088,0.000384,0.902404
