Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-6],OUT[6],TEE[4-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.396203,0.017953,0.191590,0.004960,0.114275,0.102371,0.068770,0.288648,0.000800,0.005152,0.001312,0.000416,0.913595
0.420812,0.017729,0.191909,0.005121,0.115971,0.105315,0.070690,0.295336,0.000832,0.002720,0.001409,0.000384,0.943772
0.396011,0.017761,0.191877,0.004929,0.104291,0.097827,0.066594,0.272104,0.000768,0.003200,0.001184,0.000512,0.894682
0.397195,0.017857,0.191654,0.004832,0.111299,0.098755,0.067202,0.280776,0.001056,0.002432,0.001216,0.000512,0.905210
0.395787,0.017600,0.192166,0.005088,0.099075,0.101123,0.101443,0.305417,0.001056,0.003008,0.001056,0.000480,0.928795
0.397644,0.017984,0.191494,0.005088,0.112355,0.098818,0.064962,0.279592,0.000768,0.002593,0.001248,0.000384,0.904187
0.396204,0.018016,0.191718,0.004864,0.114820,0.104707,0.069442,0.292233,0.000768,0.002624,0.001184,0.000384,0.914683
0.396300,0.018081,0.192581,0.004832,0.113284,0.101347,0.074946,0.292841,0.000672,0.002432,0.001024,0.000320,0.915163
0.413228,0.017664,0.192198,0.004864,0.116899,0.099843,0.069826,0.290217,0.000704,0.002496,0.001344,0.000448,0.931036
0.396011,0.017825,0.192166,0.004864,0.111843,0.099139,0.065826,0.280296,0.000992,0.002336,0.001344,0.000416,0.903258
0.395980,0.018049,0.191333,0.005024,0.110308,0.098467,0.070210,0.282441,0.000896,0.002592,0.001312,0.000416,0.905371
0.396107,0.017569,0.191557,0.005248,0.113795,0.116291,0.074882,0.308329,0.000736,0.002720,0.001312,0.000416,0.930651
0.396139,0.017889,0.191462,0.004928,0.107939,0.098627,0.065186,0.275400,0.000704,0.002272,0.001312,0.000416,0.896826
0.396268,0.017984,0.191622,0.005248,0.112291,0.099107,0.065058,0.279816,0.000704,0.002656,0.001281,0.000448,0.903547
0.396236,0.017824,0.191366,0.005280,0.111364,0.098659,0.065410,0.278825,0.000704,0.003104,0.001280,0.000480,0.902043
