Layer[0],Layer[1],TEE[2-2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.415632,0.017761,0.704252,0.005505,0.047297,0.000864,0.013473,0.000352,0.001408,0.001024,0.000384,1.216848
0.416881,0.017633,0.685435,0.005440,0.047970,0.000800,0.014433,0.000352,0.001408,0.001184,0.000352,1.201168
0.415792,0.017665,0.641754,0.005280,0.048002,0.000768,0.013504,0.000321,0.001440,0.000992,0.000384,1.154798
0.432433,0.017696,0.666267,0.005376,0.048034,0.000864,0.013857,0.000352,0.001440,0.001056,0.000320,1.196624
0.415600,0.017888,0.677083,0.005409,0.049121,0.000769,0.013824,0.000352,0.001664,0.001024,0.000384,1.191887
0.417456,0.017952,0.683484,0.005440,0.048514,0.001120,0.013472,0.000384,0.001473,0.000896,0.000512,1.200560
0.420400,0.017440,0.673691,0.005408,0.048578,0.000800,0.013441,0.000384,0.001504,0.001056,0.000832,1.191503
0.415152,0.017664,0.673979,0.005408,0.047522,0.000832,0.013825,0.000352,0.001408,0.000992,0.000352,1.185903
0.415889,0.017473,0.673947,0.005440,0.076067,0.000896,0.013537,0.000352,0.001440,0.001056,0.000384,1.215121
0.416177,0.017537,0.669274,0.005408,0.047266,0.000608,0.013440,0.000352,0.001376,0.000960,0.000832,1.180975
0.415409,0.017600,0.670171,0.005280,0.047266,0.000768,0.013473,0.000320,0.001440,0.000960,0.000576,1.181871
0.415665,0.017409,0.712444,0.005472,0.048066,0.000832,0.013409,0.000352,0.001408,0.000960,0.000384,1.225745
0.415889,0.017313,0.663994,0.005376,0.048098,0.000800,0.013633,0.000352,0.001408,0.001024,0.000352,1.177071
0.415665,0.018177,0.678235,0.005472,0.048002,0.000832,0.013441,0.000384,0.001472,0.000992,0.000416,1.191696
0.415025,0.017633,0.697532,0.005376,0.047842,0.000768,0.013440,0.000352,0.001504,0.001025,0.000352,1.209745
0.415857,0.017569,0.670650,0.005441,0.047522,0.000864,0.013728,0.000384,0.001504,0.001024,0.000352,1.183951
0.415856,0.017697,0.682235,0.005473,0.048034,0.000768,0.013600,0.000384,0.001408,0.000960,0.000608,1.195503
0.432529,0.017793,0.681691,0.005280,0.047842,0.000832,0.013441,0.000384,0.001344,0.001056,0.000352,1.210384
0.415569,0.017537,0.675867,0.005344,0.048066,0.000864,0.013440,0.000352,0.001505,0.000960,0.000320,1.188592
0.417232,0.017793,0.684667,0.005632,0.049090,0.000864,0.014336,0.000352,0.001632,0.001249,0.000352,1.201264
0.415857,0.017729,0.673115,0.005216,0.048770,0.000864,0.014336,0.000352,0.001504,0.001024,0.000320,1.188112
0.415825,0.017376,0.681852,0.005504,0.048770,0.000800,0.013856,0.000384,0.001440,0.000993,0.000800,1.197328
0.415057,0.017568,0.693084,0.005408,0.048642,0.000800,0.013729,0.000352,0.001472,0.001024,0.000352,1.206192
0.416081,0.017697,0.691131,0.005505,0.048481,0.000833,0.013408,0.000320,0.001440,0.001056,0.000352,1.204688
0.416529,0.017441,0.686747,0.005312,0.048482,0.000832,0.013793,0.000320,0.001408,0.001024,0.000352,1.201872
0.415600,0.017665,0.697820,0.005376,0.047906,0.000832,0.013473,0.000352,0.001504,0.001024,0.000352,1.210512
0.415536,0.017633,0.683227,0.005280,0.048706,0.000832,0.013441,0.000384,0.001472,0.000992,0.000320,1.196399
0.415121,0.017729,0.662522,0.005472,0.047970,0.000800,0.013441,0.000320,0.001472,0.000992,0.000288,1.174895
0.431217,0.017505,0.673627,0.005312,0.048610,0.000896,0.013473,0.000352,0.001376,0.000960,0.000352,1.202160
0.415568,0.017729,0.685531,0.005376,0.047394,0.000832,0.013473,0.000384,0.001408,0.000960,0.000384,1.197615
0.415217,0.018177,0.667386,0.005313,0.048033,0.000768,0.013409,0.000384,0.001472,0.001024,0.000384,1.179791
0.414960,0.017409,0.690460,0.005408,0.048386,0.000832,0.013760,0.000385,0.001504,0.000928,0.000576,1.204272
0.418000,0.017569,0.692764,0.005408,0.048610,0.000768,0.013505,0.000352,0.001536,0.001088,0.000384,1.210832
0.415632,0.017505,0.698204,0.005440,0.048450,0.000800,0.014433,0.000352,0.001760,0.001152,0.000384,1.213168
0.416081,0.017505,0.682331,0.005504,0.049346,0.000864,0.013569,0.000352,0.001536,0.000992,0.000352,1.198000
0.415697,0.017537,0.679547,0.005312,0.048546,0.000928,0.013537,0.000352,0.001504,0.000960,0.000384,1.193264
0.415377,0.017632,0.712605,0.005472,0.048002,0.000832,0.013505,0.000352,0.001504,0.001056,0.000384,1.225809
0.416112,0.017792,0.664603,0.005376,0.048386,0.000832,0.013536,0.000352,0.001568,0.001056,0.000832,1.179599
0.414960,0.017729,0.685691,0.005472,0.048706,0.000832,0.013408,0.000384,0.001504,0.000928,0.000833,1.199184
0.433938,0.017601,0.688827,0.005504,0.048002,0.000896,0.013569,0.000352,0.001504,0.000992,0.000800,1.220017
0.415824,0.017665,0.679931,0.005377,0.047745,0.000800,0.013600,0.000384,0.001504,0.000992,0.000832,1.192815
