Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-10],OUT[10],TEE[4-10],classifier
0.395691,0.017505,0.207334,0.004928,0.095875,0.117284,0.064994,0.281481,0.911803
0.396428,0.017536,0.191430,0.004896,0.107459,0.103619,0.064450,0.278760,0.892922
0.394252,0.018016,0.191814,0.005248,0.112739,0.101219,0.062658,0.279848,0.894202
0.396331,0.017409,0.192038,0.005248,0.114691,0.112323,0.064769,0.294952,0.910842
0.411980,0.017440,0.191750,0.004864,0.109668,0.107491,0.064866,0.285129,0.916219
0.395563,0.017857,0.192230,0.004832,0.120419,0.110180,0.065826,0.299689,0.915899
0.396076,0.017632,0.192006,0.005056,0.113411,0.114244,0.062850,0.293897,0.910139
0.395372,0.017440,0.210342,0.005313,0.105283,0.110819,0.067938,0.288104,0.921851
0.395500,0.017408,0.191590,0.004896,0.108835,0.101859,0.063746,0.277640,0.891802
0.394988,0.017376,0.191270,0.004864,0.109283,0.101411,0.061410,0.275208,0.887962
0.395436,0.017409,0.191685,0.004801,0.111331,0.100867,0.062466,0.277864,0.892411
0.411020,0.017632,0.191366,0.004864,0.120132,0.105027,0.063906,0.292137,0.921403
0.396780,0.017632,0.191174,0.004800,0.114564,0.105955,0.065090,0.288937,0.904763
0.395276,0.017536,0.191750,0.004864,0.118052,0.111875,0.069282,0.302377,0.917435
0.395372,0.017345,0.210086,0.005344,0.139204,0.113380,0.069026,0.324746,0.957821
0.395339,0.018336,0.192390,0.004896,0.111267,0.111972,0.068194,0.294825,0.911483
0.395403,0.017569,0.191974,0.004864,0.105123,0.099651,0.063362,0.271272,0.886106
0.395564,0.017472,0.192358,0.004896,0.107811,0.100707,0.063906,0.275688,0.890362
0.394603,0.017665,0.191430,0.005184,0.112355,0.106531,0.064514,0.286664,0.900506
0.394700,0.017409,0.191621,0.004896,0.110404,0.097443,0.060897,0.272072,0.885338
0.395755,0.017601,0.191750,0.004832,0.108323,0.108707,0.066306,0.286504,0.902170
0.395276,0.017344,0.210150,0.005184,0.133411,0.113156,0.062946,0.312777,0.946108
0.395820,0.017504,0.191558,0.004800,0.089507,0.099587,0.061698,0.254152,0.869434
0.396300,0.017344,0.191398,0.005024,0.119524,0.100803,0.063010,0.286665,0.902715
0.395211,0.017440,0.191622,0.004960,0.110019,0.101443,0.065154,0.279976,0.893914
0.408396,0.017729,0.191974,0.004896,0.115363,0.112195,0.065569,0.296520,0.926300
0.396268,0.017568,0.191750,0.005056,0.113251,0.110532,0.066050,0.292745,0.908379
0.396651,0.017601,0.191750,0.005216,0.112995,0.100835,0.062722,0.279656,0.895450
0.394892,0.017600,0.210342,0.005281,0.113763,0.106851,0.065890,0.289672,0.923195
0.395692,0.017440,0.191526,0.004896,0.113380,0.099427,0.069186,0.285161,0.899067
0.394892,0.017376,0.191526,0.004832,0.121124,0.107107,0.065570,0.297001,0.912379
0.394860,0.017344,0.191686,0.004832,0.140836,0.101347,0.065218,0.310537,0.923835
0.395180,0.017568,0.191558,0.004800,0.115588,0.108323,0.064514,0.291625,0.905659
0.395724,0.017664,0.191398,0.004832,0.118116,0.108195,0.069090,0.298953,0.914043
0.396012,0.017504,0.191813,0.004864,0.112836,0.103843,0.064098,0.284009,0.899131
