Layer[0],Layer[1],Layer[2],Layer[3],TEE[4-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.415952,0.017377,0.202440,0.004768,0.238953,0.014785,0.000480,0.001536,0.001152,0.000576,0.908739
0.420912,0.017184,0.202344,0.005088,0.232681,0.014336,0.000480,0.001504,0.000960,0.000640,0.904963
0.438706,0.017472,0.202056,0.005153,0.228681,0.014240,0.000480,0.001504,0.001120,0.000384,0.919172
0.415793,0.017280,0.202440,0.004801,0.237801,0.015105,0.000480,0.001504,0.001152,0.000384,0.906628
0.420720,0.017344,0.202728,0.005056,0.225129,0.014433,0.000512,0.001472,0.001056,0.000352,0.897699
0.420304,0.017440,0.202664,0.004992,0.262923,0.015744,0.000512,0.001408,0.001056,0.000352,0.937413
0.420688,0.017441,0.202536,0.004960,0.232233,0.014177,0.000512,0.001472,0.001216,0.000352,0.904067
0.420272,0.017249,0.202408,0.004896,0.230825,0.014497,0.000512,0.001568,0.001088,0.000800,0.901507
0.420528,0.017313,0.202600,0.004896,0.217097,0.014240,0.000512,0.001568,0.001025,0.000832,0.891331
0.435217,0.017473,0.202440,0.004992,0.232713,0.014337,0.000448,0.001472,0.001088,0.000608,0.920356
0.419952,0.017281,0.201960,0.004832,0.232233,0.014273,0.000544,0.001472,0.001088,0.000800,0.903875
0.420337,0.017344,0.202120,0.004961,0.233481,0.014720,0.000576,0.001505,0.001312,0.000608,0.907332
0.420337,0.017217,0.202248,0.004800,0.244393,0.014880,0.000480,0.001504,0.001120,0.000352,0.916644
0.419953,0.017472,0.201928,0.004929,0.237513,0.014305,0.000480,0.001440,0.001088,0.000352,0.908164
0.416656,0.017345,0.202280,0.005120,0.233289,0.014593,0.000480,0.001472,0.001120,0.000352,0.901731
0.419856,0.017345,0.202632,0.004832,0.226313,0.014561,0.000512,0.001504,0.001056,0.000352,0.897507
0.439889,0.017313,0.202216,0.004864,0.242058,0.015168,0.000512,0.001505,0.001024,0.000320,0.932229
0.420849,0.017312,0.202088,0.004896,0.220809,0.014305,0.000544,0.001504,0.001056,0.000384,0.892355
0.415441,0.017313,0.201735,0.004865,0.222184,0.014593,0.000544,0.001568,0.001088,0.000384,0.888963
0.420049,0.017217,0.202407,0.004833,0.246441,0.014657,0.000512,0.001504,0.001056,0.000384,0.918404
0.415921,0.017344,0.202504,0.004865,0.237737,0.015745,0.000544,0.001504,0.001088,0.000384,0.906436
0.415568,0.017345,0.203080,0.004832,0.221961,0.014176,0.000480,0.001440,0.001056,0.000384,0.888674
0.415216,0.020993,0.202792,0.004800,0.220265,0.015424,0.000480,0.001440,0.001088,0.000352,0.891458
0.438161,0.017601,0.202344,0.004992,0.237865,0.015745,0.000512,0.001504,0.001088,0.000352,0.930436
0.420112,0.017601,0.202120,0.004864,0.229225,0.014401,0.000512,0.001504,0.001056,0.000352,0.901507
0.419985,0.017216,0.202248,0.004800,0.225033,0.014401,0.000480,0.001632,0.001056,0.000384,0.895235
0.419856,0.017216,0.202216,0.005056,0.254474,0.015777,0.000544,0.001440,0.001056,0.000352,0.926884
0.415696,0.017984,0.202408,0.004864,0.222377,0.014081,0.000512,0.001600,0.001056,0.000576,0.889219
0.416656,0.017408,0.202248,0.004832,0.234250,0.014240,0.000480,0.001536,0.000992,0.000640,0.902883
0.420401,0.017313,0.202184,0.004864,0.225993,0.014272,0.000480,0.001568,0.001024,0.000576,0.897636
0.436209,0.017537,0.202120,0.004832,0.225897,0.014625,0.000480,0.001536,0.001184,0.000352,0.913668
0.416080,0.017281,0.201992,0.004768,0.218921,0.013920,0.000512,0.001601,0.001120,0.000352,0.884707
0.420048,0.017473,0.201800,0.004832,0.226249,0.014209,0.000960,0.001472,0.001024,0.000320,0.896643
0.420464,0.017536,0.202184,0.004896,0.254890,0.015489,0.000512,0.001504,0.001056,0.000416,0.927204
0.420113,0.017281,0.202120,0.004832,0.221576,0.014752,0.000480,0.001504,0.001088,0.000320,0.893731
0.416945,0.017377,0.202439,0.005281,0.232873,0.014176,0.000448,0.001504,0.000992,0.000352,0.901156
0.420560,0.017281,0.201768,0.004864,0.227465,0.014497,0.000480,0.001536,0.001120,0.000352,0.900163
