Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],TEE[7-10],classifier
0.421296,0.017441,0.202344,0.004896,0.048450,0.000768,0.013472,0.116837,0.896772
0.420465,0.017504,0.202408,0.004833,0.048097,0.000609,0.013440,0.119781,0.898147
0.420753,0.017537,0.201832,0.005280,0.048098,0.000832,0.013440,0.120581,0.909572
0.420465,0.017665,0.202312,0.005408,0.048162,0.000800,0.013472,0.120133,0.898467
0.420976,0.017633,0.202312,0.004800,0.047618,0.000576,0.013600,0.120229,0.901540
0.420401,0.017921,0.202824,0.005184,0.048162,0.000576,0.013376,0.121285,0.900644
0.421072,0.038178,0.202952,0.004800,0.048610,0.000576,0.013408,0.121573,0.919972
0.418289,0.017664,0.205097,0.004768,0.050018,0.000832,0.013504,0.120549,0.900548
0.420944,0.017761,0.202568,0.005280,0.048322,0.000832,0.013441,0.125028,0.905699
0.416688,0.017568,0.201960,0.004832,0.048258,0.000608,0.013473,0.120837,0.894563
0.416880,0.017953,0.202152,0.004768,0.048034,0.000800,0.013440,0.119876,0.894211
0.418929,0.017665,0.204072,0.004832,0.048514,0.000832,0.013376,0.123909,0.905764
0.417361,0.017729,0.203687,0.004800,0.048642,0.000832,0.013312,0.120805,0.900708
0.438705,0.017632,0.204424,0.004833,0.048513,0.000800,0.013441,0.122981,0.922884
0.416880,0.017665,0.204264,0.004800,0.048130,0.000832,0.013408,0.118053,0.896707
0.420848,0.017473,0.202792,0.005088,0.047746,0.000768,0.013505,0.119396,0.899587
0.420721,0.017825,0.202887,0.005280,0.048098,0.000832,0.013408,0.120005,0.924196
0.421008,0.017601,0.202248,0.004800,0.048194,0.000800,0.013537,0.116036,0.901059
0.420977,0.017569,0.201831,0.004833,0.048226,0.000800,0.014624,0.119877,0.898275
0.418577,0.017537,0.201960,0.004832,0.048610,0.000832,0.013728,0.121477,0.909188
0.440465,0.017793,0.202248,0.004768,0.049122,0.000800,0.013537,0.122372,0.921988
0.422800,0.017920,0.201992,0.004768,0.048514,0.000608,0.013377,0.121125,0.915204
0.421584,0.017537,0.202504,0.004768,0.049314,0.000576,0.013441,0.121508,0.901187
0.421617,0.017793,0.202152,0.005024,0.048482,0.000576,0.032065,0.120549,0.919268
0.420304,0.017537,0.202088,0.004800,0.047554,0.000608,0.013505,0.110212,0.890371
0.417040,0.017537,0.202376,0.004864,0.048642,0.000576,0.013409,0.117796,0.902915
0.416208,0.017537,0.202056,0.004800,0.048866,0.000576,0.013441,0.116996,0.892867
0.434481,0.017761,0.203336,0.004992,0.048450,0.000704,0.013473,0.114532,0.907300
0.421073,0.017633,0.202792,0.005056,0.049794,0.000832,0.013696,0.119397,0.902756
0.420464,0.017761,0.202728,0.005088,0.049090,0.000832,0.013377,0.114948,0.893411
0.420817,0.017761,0.218472,0.005185,0.048673,0.000577,0.013408,0.117445,0.913060
0.420848,0.017473,0.201800,0.004832,0.048002,0.000576,0.013441,0.119428,0.898051
