TEE[0-0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
1.217093,0.017825,0.205393,0.005280,0.048836,0.001056,0.013505,0.000416,0.001505,0.001056,0.000352,1.520446
1.181634,0.017602,0.204017,0.005312,0.049604,0.000800,0.014018,0.000608,0.001568,0.001344,0.000384,1.485051
1.210660,0.018018,0.203408,0.005281,0.049764,0.000800,0.013697,0.000384,0.001569,0.000992,0.000384,1.513310
1.217669,0.018049,0.208337,0.005152,0.049764,0.000832,0.014113,0.000416,0.001568,0.001184,0.000352,1.526846
1.172769,0.017826,0.204081,0.005248,0.048004,0.000544,0.013857,0.000576,0.001441,0.001056,0.000384,1.474906
1.167584,0.017697,0.204785,0.005057,0.049092,0.000576,0.013569,0.000544,0.001472,0.001120,0.000384,1.470329
1.186082,0.018017,0.205521,0.005249,0.048932,0.000576,0.013537,0.000352,0.001536,0.000992,0.000384,1.489659
1.178242,0.017826,0.203696,0.005313,0.048356,0.000832,0.013825,0.000384,0.001568,0.001281,0.000352,1.480699
1.185602,0.017762,0.203921,0.005184,0.048228,0.000768,0.013921,0.000320,0.001537,0.001184,0.000352,1.487611
1.208132,0.018177,0.203985,0.005121,0.049412,0.000608,0.013441,0.000384,0.001472,0.000992,0.000352,1.510525
1.193443,0.017441,0.204945,0.005313,0.049124,0.000800,0.013569,0.000384,0.001696,0.000960,0.000352,1.496540
1.245511,0.018177,0.203889,0.005089,0.049348,0.000576,0.013857,0.000384,0.001568,0.001152,0.000384,1.548704
1.210596,0.017665,0.204465,0.004992,0.048933,0.000768,0.013729,0.000384,0.001504,0.000992,0.000640,1.512893
1.164224,0.035523,0.205073,0.005217,0.049284,0.000544,0.013825,0.000384,0.001632,0.000993,0.000416,1.486331
1.193027,0.017954,0.204113,0.005056,0.049444,0.000832,0.013857,0.000352,0.001568,0.001152,0.000384,1.495996
1.185634,0.017954,0.204753,0.005280,0.049636,0.000800,0.013665,0.000353,0.001536,0.001024,0.000544,1.489819
1.208548,0.017825,0.205073,0.005121,0.048836,0.000576,0.014145,0.000352,0.001824,0.001217,0.000416,1.512317
1.209764,0.017793,0.203345,0.005345,0.049188,0.000576,0.014273,0.000352,0.001504,0.000992,0.000352,1.512189
1.223621,0.017922,0.203313,0.005088,0.048324,0.000800,0.013986,0.000352,0.001568,0.000992,0.000576,1.525822
1.196226,0.017953,0.203857,0.005312,0.049956,0.000800,0.013601,0.000384,0.001568,0.001088,0.000384,1.499195
1.194819,0.017826,0.204497,0.005184,0.048900,0.000736,0.013569,0.000352,0.001441,0.001056,0.000352,1.497148
1.205156,0.017730,0.204177,0.005024,0.049028,0.000800,0.013377,0.000417,0.001440,0.001024,0.000608,1.506813
1.222405,0.017890,0.223250,0.005185,0.049220,0.000704,0.013665,0.000544,0.001632,0.000992,0.000608,1.545696
1.250120,0.017698,0.205361,0.005024,0.049092,0.000800,0.014049,0.000545,0.001568,0.000992,0.000384,1.555169
1.185986,0.017665,0.205200,0.005248,0.048836,0.000768,0.013697,0.000352,0.001537,0.001024,0.000384,1.489211
1.192643,0.017921,0.204273,0.005057,0.049956,0.000800,0.013505,0.000416,0.001536,0.000992,0.000352,1.496060
1.218437,0.017794,0.204913,0.005344,0.049060,0.000768,0.013697,0.000352,0.001505,0.001312,0.000608,1.522366
1.188899,0.017825,0.204593,0.005313,0.049444,0.000576,0.013537,0.000416,0.001472,0.000992,0.000352,1.491995
1.235206,0.017730,0.208433,0.005440,0.048868,0.000801,0.013633,0.000384,0.001536,0.001152,0.000384,1.543007
1.214852,0.017729,0.207345,0.005121,0.049476,0.000800,0.013921,0.000416,0.001504,0.001120,0.000672,1.521502
1.191458,0.017761,0.205649,0.005377,0.048676,0.000832,0.013569,0.000384,0.001472,0.001152,0.000608,1.495707
1.205796,0.017570,0.222738,0.005185,0.048900,0.000576,0.014017,0.000416,0.001504,0.001024,0.000384,1.527614
1.212804,0.017666,0.204433,0.005056,0.049028,0.000800,0.013762,0.000384,0.001728,0.001056,0.000352,1.515741
1.191362,0.017922,0.203665,0.005120,0.048484,0.000928,0.013441,0.000416,0.001697,0.001088,0.000352,1.493115
1.255687,0.018401,0.203857,0.005089,0.048644,0.000832,0.013633,0.000448,0.001696,0.001088,0.000384,1.558016
1.185058,0.017890,0.204688,0.004993,0.049540,0.000768,0.013729,0.000384,0.001472,0.001057,0.000320,1.488827
