Layer[0],Layer[1],Layer[2],Layer[3],TEE[4-8],Layer[9],Layer[10],classifier
0.416880,0.017697,0.202120,0.004864,0.265610,0.001376,0.000352,0.917251
0.416528,0.017601,0.202056,0.004864,0.247786,0.001408,0.000352,0.898147
0.415664,0.017729,0.202376,0.005184,0.247242,0.001440,0.000608,0.897539
0.415601,0.017473,0.201895,0.005025,0.244937,0.001472,0.000352,0.894147
0.435217,0.017760,0.201928,0.005057,0.275850,0.001312,0.000384,0.945221
0.416752,0.017761,0.202152,0.005280,0.262122,0.001216,0.000352,0.912355
0.417105,0.017633,0.202600,0.005024,0.260874,0.001344,0.000384,0.912004
0.417104,0.017665,0.202408,0.005088,0.276363,0.001408,0.000448,0.927172
0.416208,0.017953,0.202056,0.005344,0.264171,0.001472,0.000416,0.915332
0.417297,0.017696,0.202696,0.004897,0.255146,0.001280,0.000320,0.907428
0.416144,0.017793,0.205448,0.004992,0.255050,0.001409,0.000576,0.909700
0.435025,0.017760,0.202472,0.005089,0.253098,0.001216,0.000384,0.922468
0.416208,0.017665,0.202216,0.005056,0.262155,0.001376,0.000416,0.913092
0.416368,0.017920,0.201768,0.005184,0.251082,0.001440,0.000576,0.902531
0.416497,0.017760,0.201992,0.004864,0.276491,0.001216,0.000576,0.926852
0.416624,0.017729,0.202024,0.005024,0.245897,0.001408,0.000416,0.896963
0.416080,0.017569,0.202472,0.004896,0.249258,0.001376,0.000608,0.899267
0.416369,0.017537,0.202279,0.004897,0.241993,0.001408,0.000640,0.892355
0.451057,0.017665,0.202408,0.005024,0.254154,0.001312,0.000352,0.939364
0.417137,0.017729,0.202216,0.004896,0.251914,0.001312,0.000640,0.903972
0.415888,0.017889,0.202184,0.004832,0.250698,0.001568,0.000384,0.902019
0.416401,0.017632,0.202056,0.005025,0.278250,0.001600,0.000608,0.928453
0.415600,0.018113,0.202152,0.005024,0.243465,0.001376,0.000352,0.893186
0.416208,0.017857,0.201864,0.004768,0.242730,0.001440,0.000608,0.892579
0.416816,0.017441,0.202248,0.005280,0.241929,0.001344,0.000608,0.892802
0.434417,0.017536,0.202952,0.004992,0.259211,0.001248,0.000608,0.928293
0.416304,0.017665,0.202088,0.004864,0.245706,0.001312,0.000576,0.895107
0.416176,0.017697,0.203528,0.005120,0.250250,0.001312,0.000384,0.901315
0.415824,0.017920,0.201960,0.004832,0.303436,0.001184,0.000352,0.952709
0.415920,0.017601,0.202440,0.004896,0.257322,0.001280,0.000384,0.907683
0.416080,0.017697,0.201928,0.004864,0.252586,0.001536,0.000320,0.903299
0.415920,0.017633,0.202632,0.004928,0.248938,0.001472,0.000384,0.899235
0.433521,0.017505,0.202824,0.004832,0.247562,0.001408,0.000416,0.915268
0.416848,0.017665,0.201992,0.004896,0.239817,0.001376,0.000352,0.889891
0.415952,0.017441,0.201864,0.005024,0.250666,0.001408,0.000384,0.899427
0.416528,0.017313,0.201992,0.004992,0.264491,0.001344,0.000352,0.913572
