Layer[0],Layer[1],Layer[2],TEE[3-10],classifier
0.416688,0.017697,0.202888,0.229289,0.935844
0.417648,0.017505,0.202760,0.202344,0.908259
0.416081,0.017664,0.202184,0.199304,0.901764
0.437713,0.017697,0.202760,0.214376,0.942405
0.417264,0.017601,0.202344,0.205416,0.912068
0.416368,0.017729,0.202728,0.202984,0.908067
0.416432,0.017729,0.202792,0.232329,0.944037
0.416368,0.017664,0.202728,0.211816,0.917636
0.416465,0.017568,0.203144,0.200552,0.905604
0.415952,0.017537,0.202312,0.203112,0.906723
0.435281,0.017857,0.202504,0.203112,0.927460
0.416624,0.017761,0.202824,0.203048,0.909251
0.417104,0.017697,0.202504,0.241641,0.951461
0.416912,0.017697,0.220361,0.195303,0.916612
0.417808,0.017601,0.202408,0.197672,0.903427
0.416688,0.017601,0.202760,0.206376,0.911843
0.417457,0.017536,0.202312,0.213289,0.918148
0.415920,0.017473,0.202088,0.194056,0.898563
0.416528,0.017632,0.202376,0.199784,0.902563
0.416017,0.017536,0.202055,0.193864,0.896740
0.416913,0.017600,0.219209,0.205288,0.930277
0.414960,0.017728,0.202184,0.204584,0.906916
0.417360,0.017504,0.202216,0.205672,0.908516
0.416912,0.017568,0.203880,0.224297,0.927460
0.417552,0.017729,0.201928,0.205768,0.909603
0.416240,0.017761,0.203368,0.220617,0.924548
0.417328,0.017537,0.202152,0.199176,0.903427
0.416272,0.017505,0.222089,0.206152,0.928996
0.416976,0.017505,0.202472,0.205160,0.908291
0.420336,0.017601,0.203464,0.200808,0.908163
0.416656,0.017697,0.202216,0.192807,0.894404
0.418129,0.017504,0.202760,0.199176,0.906052
0.417072,0.017761,0.203400,0.198280,0.905315
0.418448,0.017600,0.203496,0.201416,0.908580
0.417233,0.017537,0.218888,0.198632,0.920484
0.416625,0.017760,0.203624,0.200232,0.904324
0.416208,0.017665,0.202408,0.195976,0.899971
0.415952,0.017665,0.203112,0.199816,0.903491
0.418960,0.017601,0.202312,0.197224,0.900611
0.417264,0.017505,0.204040,0.235913,0.939461
0.416912,0.017473,0.202632,0.197128,0.900771
0.434641,0.017537,0.202504,0.210568,0.933381
0.415345,0.017568,0.201896,0.207176,0.909284
0.416720,0.017697,0.202312,0.212616,0.917476
0.416784,0.017473,0.202344,0.195815,0.902339
0.416497,0.017696,0.202536,0.210185,0.918628
0.417616,0.017505,0.202280,0.211304,0.915300
0.416337,0.017440,0.202408,0.208649,0.910852
0.433137,0.017569,0.202248,0.209160,0.930756
0.417041,0.017856,0.202152,0.198472,0.902948
0.416976,0.017665,0.202376,0.193127,0.895971
0.416432,0.017665,0.202312,0.207496,0.931076
0.417073,0.017472,0.202504,0.193608,0.897187
0.416432,0.017505,0.203048,0.197736,0.903779
0.416496,0.017665,0.202120,0.212520,0.918180
0.435954,0.017440,0.202376,0.193544,0.916708
0.416944,0.017217,0.202696,0.209192,0.912740
0.416241,0.017345,0.202248,0.197895,0.898788
0.416465,0.017472,0.202536,0.207528,0.929125
0.416081,0.017536,0.202791,0.208137,0.911460
0.416080,0.017633,0.206760,0.212041,0.919044
0.416081,0.017568,0.202056,0.193480,0.895011
0.437137,0.017793,0.202728,0.208968,0.935237
0.415792,0.017601,0.202280,0.214888,0.919204
0.416464,0.017505,0.202824,0.206792,0.910052
0.416305,0.017760,0.202376,0.226537,0.933733
0.417649,0.017505,0.202696,0.206152,0.910308
0.415984,0.017505,0.202888,0.197287,0.900035
0.415472,0.017569,0.203080,0.194216,0.895971
0.432113,0.017537,0.202792,0.190599,0.906084
0.416016,0.017665,0.202600,0.200488,0.906083
0.415537,0.017569,0.202311,0.202792,0.903588
0.416017,0.017568,0.201992,0.194120,0.915268
0.415440,0.017505,0.202408,0.189415,0.891683
0.415697,0.017665,0.202759,0.190759,0.892611
0.419729,0.017921,0.205160,0.218792,0.934597
0.436497,0.017601,0.203656,0.206856,0.934789
0.417072,0.017665,0.202824,0.208456,0.915523
0.416305,0.017632,0.202472,0.206504,0.911364
0.416241,0.018080,0.202408,0.222665,0.931557
