Layer[0],Layer[1],Layer[2],TEE[3-4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.416816,0.017697,0.202088,0.237193,0.000864,0.014433,0.000384,0.001568,0.001088,0.000384,0.901603
0.417712,0.021057,0.202024,0.242954,0.000832,0.014336,0.000416,0.001792,0.000864,0.000384,0.910275
0.417265,0.017728,0.201992,0.224649,0.000704,0.014497,0.000352,0.001536,0.000992,0.000384,0.887907
0.416560,0.017856,0.202152,0.258026,0.000896,0.014593,0.000416,0.001600,0.000832,0.000256,0.919396
0.416080,0.017632,0.201736,0.231913,0.000864,0.014497,0.000384,0.001760,0.000928,0.000288,0.893027
0.415953,0.017856,0.201960,0.295500,0.000768,0.014433,0.000384,0.001568,0.000800,0.000384,0.956518
0.416912,0.031457,0.202536,0.216905,0.000960,0.014208,0.000352,0.001505,0.000928,0.000224,0.893443
0.416112,0.017760,0.202056,0.223145,0.000896,0.014273,0.000448,0.001472,0.001344,0.000320,0.886563
0.416336,0.017793,0.203304,0.220520,0.001184,0.015585,0.000448,0.001728,0.000928,0.000352,0.887139
0.417488,0.017729,0.201864,0.221545,0.001088,0.014336,0.000320,0.001440,0.000929,0.000352,0.884483
0.417904,0.017568,0.202856,0.230057,0.000960,0.014017,0.000384,0.001408,0.001088,0.000352,0.895555
0.418033,0.017568,0.201800,0.242954,0.001024,0.015265,0.000384,0.001504,0.000928,0.000352,0.907588
0.415376,0.021025,0.202120,0.245353,0.000896,0.014977,0.000384,0.001472,0.001088,0.000352,0.909636
0.415857,0.017536,0.218473,0.233225,0.001024,0.014081,0.000416,0.001408,0.001472,0.000352,0.911300
0.416592,0.017569,0.201864,0.237097,0.000896,0.014209,0.000416,0.001408,0.000928,0.000352,0.898531
0.415409,0.017760,0.202152,0.200008,0.000800,0.014433,0.000384,0.001472,0.000928,0.000352,0.860258
0.414608,0.017600,0.201768,0.254410,0.000832,0.013985,0.000352,0.001472,0.000864,0.000320,0.912836
0.427409,0.017441,0.201960,0.213064,0.000736,0.013857,0.000384,0.001504,0.000832,0.000320,0.884771
0.415152,0.017633,0.201640,0.218889,0.000864,0.013984,0.000384,0.001440,0.000864,0.000288,0.877635
0.415345,0.017728,0.203176,0.226473,0.000800,0.014433,0.000352,0.001536,0.000928,0.000352,0.889443
0.419600,0.017665,0.204360,0.249834,0.000800,0.014016,0.000384,0.001504,0.001216,0.000384,0.918756
0.416625,0.017697,0.202600,0.238857,0.000832,0.014977,0.000352,0.001504,0.000960,0.000384,0.902244
0.421264,0.017473,0.202120,0.229129,0.000864,0.014433,0.000352,0.001408,0.000928,0.000416,0.896035
0.417520,0.018305,0.201896,0.239241,0.000864,0.014113,0.000416,0.001472,0.000896,0.000320,0.901955
0.432785,0.017600,0.202504,0.227305,0.000864,0.014209,0.000384,0.001440,0.000864,0.000320,0.905380
0.415953,0.017536,0.202376,0.234666,0.000864,0.014176,0.000352,0.001536,0.001440,0.000320,0.896195
0.415376,0.020705,0.202120,0.240362,0.000864,0.014176,0.000384,0.001440,0.001121,0.000352,0.905092
0.416689,0.017505,0.202215,0.275499,0.000960,0.015265,0.000384,0.001440,0.001056,0.000384,0.939077
0.416560,0.017729,0.201928,0.232649,0.000896,0.015521,0.000384,0.001472,0.000832,0.000384,0.895299
0.415568,0.017793,0.202024,0.227913,0.000864,0.014624,0.000352,0.001472,0.000832,0.000576,0.889027
0.416625,0.017600,0.202504,0.239690,0.000832,0.014241,0.000352,0.001472,0.001152,0.000384,0.904420
0.433457,0.017600,0.202056,0.229673,0.000800,0.015105,0.000320,0.001408,0.000896,0.000352,0.909732
0.417265,0.017696,0.202024,0.232489,0.000832,0.014272,0.000416,0.001472,0.000864,0.000352,0.894755
0.415888,0.017761,0.202280,0.276107,0.000736,0.013825,0.000352,0.001472,0.001088,0.000288,0.936773
0.420593,0.017632,0.202600,0.259691,0.000928,0.014400,0.000384,0.001504,0.000960,0.000416,0.926372
0.420368,0.017665,0.201960,0.247402,0.000832,0.014432,0.000384,0.001472,0.000992,0.000352,0.914500
0.416209,0.017696,0.202664,0.245450,0.000704,0.014753,0.000352,0.001472,0.000960,0.000384,0.908420
0.415536,0.017569,0.202248,0.226793,0.000672,0.014465,0.000352,0.001440,0.000896,0.000320,0.887555
0.431185,0.017921,0.202376,0.236265,0.000832,0.014241,0.000320,0.001440,0.000896,0.000384,0.911844
0.415312,0.017505,0.202024,0.224841,0.000736,0.014048,0.000352,0.001473,0.000896,0.000512,0.885411
0.422705,0.017664,0.203208,0.233642,0.000768,0.014208,0.000352,0.001600,0.001216,0.000352,0.905508
0.416816,0.017505,0.202472,0.291883,0.001121,0.015392,0.000352,0.001600,0.001024,0.000576,0.957157
0.417616,0.020864,0.201928,0.227945,0.000768,0.014049,0.000384,0.001472,0.000832,0.000352,0.893411
0.417424,0.017665,0.202248,0.260554,0.000800,0.014273,0.000352,0.001408,0.000864,0.000320,0.922820
0.421841,0.017249,0.202024,0.230793,0.000864,0.014048,0.000384,0.001472,0.000896,0.000320,0.897027
0.430865,0.017729,0.201960,0.219848,0.000736,0.014145,0.000384,0.001408,0.000896,0.000352,0.895491
0.419761,0.017761,0.201896,0.234313,0.000864,0.013985,0.000352,0.001504,0.000928,0.000320,0.899140
0.415825,0.017504,0.202728,0.204200,0.000864,0.013984,0.000352,0.001536,0.001024,0.000256,0.865282
0.415024,0.017664,0.202184,0.215977,0.000768,0.013888,0.000352,0.001472,0.000833,0.000256,0.875491
0.414800,0.017473,0.202248,0.224808,0.000704,0.014145,0.000352,0.001472,0.000928,0.000256,0.884002
0.417040,0.018081,0.202632,0.227561,0.000768,0.014401,0.000416,0.001504,0.001088,0.000352,0.894179
0.415473,0.017728,0.202248,0.228329,0.001056,0.014305,0.000352,0.001504,0.000832,0.000512,0.890147
0.429104,0.017633,0.202440,0.228937,0.000864,0.014337,0.000384,0.001472,0.000928,0.000288,0.903780
0.416240,0.017536,0.202056,0.221161,0.000992,0.014305,0.000352,0.001472,0.000800,0.000288,0.882563
0.416272,0.017504,0.201864,0.220585,0.000864,0.014817,0.000416,0.001408,0.001344,0.000352,0.882435
0.417841,0.017953,0.202664,0.250025,0.000928,0.014913,0.000416,0.001728,0.001504,0.000576,0.917860
0.416272,0.017920,0.202792,0.236106,0.000832,0.014400,0.000544,0.001696,0.001408,0.000224,0.900483
0.416593,0.017728,0.202183,0.236586,0.001184,0.016128,0.000385,0.001504,0.000928,0.000320,0.901860
0.415057,0.017536,0.202664,0.212809,0.000800,0.014080,0.000352,0.001504,0.000864,0.000288,0.872867
0.415632,0.017537,0.221449,0.219432,0.000768,0.013953,0.000352,0.001472,0.000832,0.000256,0.899299
0.420369,0.017665,0.202312,0.237865,0.000736,0.014305,0.000384,0.001600,0.001408,0.000352,0.907684
0.415984,0.017441,0.202216,0.245930,0.000736,0.014240,0.000448,0.001505,0.000960,0.000384,0.907332
0.416721,0.017632,0.202280,0.224489,0.000736,0.014209,0.000352,0.001536,0.000896,0.000256,0.886243
0.427408,0.017761,0.202024,0.231273,0.000832,0.014049,0.000352,0.001568,0.000832,0.000352,0.903971
0.415696,0.017697,0.202152,0.282635,0.000896,0.014337,0.000416,0.001504,0.000896,0.000352,0.943877
0.415953,0.017472,0.202312,0.234313,0.000832,0.014016,0.000320,0.001472,0.000928,0.000352,0.894979
0.415792,0.017505,0.218024,0.258730,0.000896,0.013952,0.000416,0.001472,0.000832,0.000352,0.935716
0.415440,0.017569,0.202312,0.245834,0.000800,0.013920,0.000416,0.001408,0.000800,0.000352,0.905923
0.415184,0.017345,0.201736,0.224681,0.000832,0.014048,0.000416,0.001472,0.001024,0.000352,0.883939
0.414929,0.017536,0.202248,0.234185,0.001121,0.014208,0.000384,0.001472,0.000800,0.000320,0.894243
0.431057,0.017505,0.202792,0.251274,0.000736,0.014369,0.000384,0.001504,0.001312,0.000384,0.930533
0.415952,0.017697,0.202024,0.232041,0.000832,0.014081,0.000352,0.001440,0.000928,0.000384,0.892451
0.415921,0.017632,0.202440,0.225833,0.000736,0.014337,0.000416,0.001504,0.000864,0.000352,0.887907
0.414384,0.017633,0.202088,0.243529,0.000800,0.014209,0.000384,0.001504,0.000992,0.000384,0.903011
0.420337,0.017601,0.201896,0.253738,0.000704,0.014336,0.000352,0.001504,0.001088,0.000352,0.920805
0.415281,0.017504,0.201960,0.232681,0.000833,0.014336,0.000416,0.001504,0.000928,0.000288,0.893123
0.417072,0.017409,0.202216,0.242250,0.000832,0.014496,0.000384,0.001472,0.001536,0.000608,0.905859
0.436305,0.017569,0.202087,0.241642,0.000800,0.014273,0.000384,0.001504,0.000928,0.000320,0.923556
0.416272,0.017729,0.201832,0.215400,0.000736,0.014529,0.000352,0.001536,0.000896,0.000224,0.877154
0.415984,0.017537,0.202088,0.229929,0.001184,0.015104,0.000416,0.001569,0.000896,0.000352,0.892099
0.418576,0.017569,0.202248,0.264490,0.000704,0.014240,0.000416,0.001632,0.001376,0.000384,0.932260
0.416624,0.017441,0.202120,0.232905,0.000736,0.014881,0.000384,0.001504,0.001024,0.000608,0.896707
0.420465,0.017408,0.201896,0.226761,0.000800,0.014017,0.000352,0.001536,0.001088,0.000576,0.893091
0.420432,0.017505,0.202536,0.244202,0.000736,0.013888,0.000384,0.001536,0.001024,0.000352,0.910627
0.451569,0.017856,0.202024,0.230281,0.000896,0.014401,0.000416,0.001568,0.001088,0.000352,0.929188
0.420401,0.017665,0.201863,0.229161,0.000832,0.014272,0.000320,0.001536,0.001024,0.000384,0.895939
0.419793,0.017792,0.203080,0.265419,0.000800,0.013824,0.000384,0.001473,0.001056,0.000576,0.932741
0.415984,0.017537,0.220201,0.243081,0.000896,0.014241,0.000384,0.001408,0.000992,0.000384,0.923652
0.421009,0.017664,0.202184,0.241802,0.000736,0.013889,0.000416,0.001472,0.000960,0.000384,0.909060
