Layer[0],Layer[1],TEE[2-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.424433,0.017953,0.751230,0.049666,0.000832,0.013824,0.000576,0.001569,0.003264,0.000544,1.277491
0.417904,0.017889,0.679035,0.049154,0.000864,0.013857,0.000480,0.001536,0.001760,0.000640,1.192815
0.416113,0.017568,0.712669,0.048418,0.000800,0.014016,0.000416,0.001504,0.001440,0.000608,1.222257
0.416241,0.017761,0.689179,0.048066,0.000800,0.013664,0.000384,0.001504,0.001472,0.000640,1.198768
0.416177,0.017601,0.691579,0.047842,0.000800,0.013729,0.000352,0.001568,0.001536,0.000576,1.200656
0.431473,0.017537,0.660026,0.048706,0.000672,0.013856,0.000384,0.001505,0.000896,0.000320,1.182607
0.416273,0.017633,0.668218,0.050242,0.000512,0.013665,0.000352,0.001440,0.000928,0.000320,1.176559
0.416785,0.017472,0.679771,0.048802,0.000576,0.013761,0.000352,0.001536,0.001184,0.000352,1.189327
0.448178,0.017473,0.682779,0.048642,0.000576,0.013376,0.000416,0.001505,0.001120,0.000608,1.222801
0.415761,0.017441,0.687707,0.048034,0.000512,0.013377,0.000416,0.001536,0.001184,0.000320,1.192720
0.415825,0.017377,0.666746,0.047554,0.000544,0.013409,0.000352,0.001472,0.001088,0.000352,1.171855
0.415984,0.017601,0.657242,0.047874,0.000576,0.013377,0.000416,0.001344,0.000896,0.000384,1.162862
0.416241,0.017569,0.676379,0.047585,0.000545,0.013312,0.000384,0.001440,0.000864,0.000320,1.181871
0.415473,0.017825,0.714300,0.047618,0.000544,0.013441,0.000384,0.001504,0.000896,0.000800,1.220753
