Layer[0],Layer[1],TEE[2-8],Layer[9],Layer[10],classifier
0.421553,0.017472,0.764286,0.001216,0.000352,1.210000
0.421457,0.017345,0.736445,0.000960,0.000320,1.180783
0.422064,0.017313,0.724892,0.001281,0.000384,1.170606
0.417489,0.017377,0.753117,0.001152,0.000320,1.194639
0.421649,0.017472,0.721437,0.001152,0.000352,1.167086
0.423729,0.017249,0.741757,0.001248,0.000384,1.190959
0.433457,0.017537,0.747293,0.001152,0.000352,1.205327
0.421841,0.017504,0.744542,0.001056,0.000352,1.190799
0.417937,0.017344,0.741854,0.001120,0.000416,1.184079
0.421936,0.017185,0.732765,0.001248,0.000352,1.178702
0.422353,0.017280,0.731900,0.001184,0.000320,1.178126
0.416145,0.017536,0.775327,0.001088,0.000352,1.216272
0.420368,0.017537,0.739357,0.001280,0.000320,1.184174
0.421809,0.017345,0.736541,0.001248,0.000416,1.182319
0.422544,0.017345,0.775775,0.001280,0.000352,1.222288
0.422064,0.017377,0.739197,0.001440,0.000416,1.186222
0.422705,0.017537,0.769790,0.001280,0.000384,1.217328
0.419600,0.017600,0.767166,0.001313,0.000352,1.213008
0.416496,0.017601,0.749213,0.001344,0.000352,1.191662
0.422480,0.017568,0.732765,0.001344,0.000416,1.180430
0.441393,0.017504,0.749662,0.001344,0.000352,1.215920
0.423121,0.017536,0.743678,0.001344,0.000352,1.192047
0.417552,0.017217,0.753629,0.001153,0.000384,1.195087
0.422993,0.017344,0.747198,0.001280,0.000384,1.195055
0.422640,0.017217,0.759774,0.001280,0.000320,1.207183
0.418064,0.017473,0.766046,0.001280,0.000416,1.211343
0.417841,0.017249,0.762558,0.001312,0.000352,1.205168
0.418416,0.017185,0.735069,0.001152,0.000352,1.177070
0.422384,0.017408,0.766174,0.001345,0.000352,1.213680
0.420368,0.017536,0.724925,0.001216,0.000352,1.170318
0.422704,0.017537,0.749245,0.001281,0.000384,1.196527
0.422256,0.017505,0.758462,0.001440,0.000384,1.205743
0.420432,0.017313,0.740733,0.001216,0.000384,1.185614
0.423024,0.017281,0.728797,0.001376,0.000352,1.175790
0.434289,0.017280,0.736829,0.001281,0.000384,1.195695
0.419600,0.017248,0.746462,0.001440,0.000640,1.192815
0.416368,0.017281,0.744509,0.001440,0.000384,1.185998
0.417296,0.017281,0.751517,0.001280,0.000352,1.193454
0.420721,0.017344,0.745214,0.001408,0.000384,1.192719
0.418321,0.017377,0.761149,0.001344,0.000384,1.205424
0.420529,0.017505,0.742205,0.001280,0.000352,1.187887
0.418673,0.017313,0.738141,0.001440,0.000448,1.181839
0.422192,0.017473,0.745469,0.001312,0.000352,1.192687
0.420913,0.017312,0.730141,0.001152,0.000384,1.175758
0.419153,0.017249,0.743773,0.001312,0.000352,1.187503
0.420273,0.017217,0.761566,0.001216,0.000352,1.207344
0.418353,0.017344,0.729244,0.001216,0.000384,1.171566
0.421904,0.017537,0.734941,0.001248,0.000384,1.181998
0.437585,0.017537,0.747069,0.001280,0.000384,1.210511
0.418193,0.017568,0.739358,0.001376,0.000416,1.182255
0.423792,0.017665,0.742397,0.001216,0.000352,1.191471
0.423344,0.017505,0.776831,0.001216,0.000352,1.224496
0.420400,0.017505,0.723548,0.001440,0.000384,1.168813
0.422289,0.017473,0.767710,0.001216,0.000384,1.214384
0.418096,0.017345,0.724092,0.001152,0.000320,1.166382
0.421681,0.017409,0.746237,0.001280,0.000384,1.193583
0.421937,0.017345,0.753117,0.001248,0.000352,1.199600
0.418481,0.017473,0.740605,0.001152,0.000352,1.182735
0.423025,0.017473,0.730844,0.001313,0.000384,1.179087
0.417712,0.017569,0.745757,0.001313,0.000352,1.189071
0.422353,0.017409,0.732668,0.001281,0.000352,1.179727
0.422672,0.017473,0.730141,0.001248,0.000352,1.177678
0.441713,0.017377,0.772606,0.001376,0.000384,1.238928
0.418289,0.017377,0.731676,0.001312,0.000352,1.174575
0.418064,0.017121,0.744605,0.001216,0.000352,1.188014
0.434161,0.017313,0.747390,0.001248,0.000352,1.206480
0.422064,0.017376,0.743870,0.001408,0.000384,1.192175
0.421841,0.017537,0.762366,0.001568,0.000448,1.212496
0.421297,0.017377,0.741789,0.001536,0.000352,1.188463
0.420913,0.017248,0.746270,0.001312,0.000384,1.192335
0.418129,0.017248,0.770847,0.001312,0.000352,1.214960
0.424177,0.017345,0.744477,0.001568,0.000384,1.194511
