Layer[0],TEE[1-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.415121,0.720319,0.048578,0.000640,0.013409,0.000352,0.001536,0.000928,0.000320,1.208659
0.415505,0.747392,0.048450,0.000608,0.013537,0.000480,0.001472,0.000992,0.000320,1.237428
0.415121,0.689438,0.048546,0.000640,0.013440,0.000352,0.001536,0.000928,0.000384,1.177425
0.417298,0.701566,0.048418,0.000608,0.013504,0.000384,0.001632,0.001153,0.000416,1.192947
0.439794,0.766720,0.049026,0.000640,0.013441,0.000352,0.001632,0.001152,0.000384,1.280950
0.416498,0.701726,0.048578,0.000576,0.013473,0.000352,0.001536,0.000992,0.000320,1.192371
0.415826,0.698397,0.048098,0.000640,0.013376,0.000416,0.001504,0.001088,0.000320,1.186994
0.416530,0.700766,0.048290,0.000640,0.013505,0.000384,0.001408,0.000960,0.000320,1.189811
0.415729,0.703134,0.047554,0.000640,0.013441,0.000352,0.001472,0.000896,0.000352,1.191282
0.414929,0.717951,0.047426,0.000640,0.013504,0.000384,0.001537,0.000928,0.000352,1.205267
0.415218,0.697918,0.047394,0.000608,0.013440,0.000384,0.001504,0.000960,0.000352,1.185043
0.415473,0.732607,0.047522,0.000640,0.013440,0.000320,0.001472,0.000896,0.000416,1.221171
0.415985,0.720958,0.049282,0.000640,0.013537,0.000384,0.001472,0.001088,0.000416,1.212275
