Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],TEE[9-9],Layer[10],classifier
0.417712,0.017505,0.202152,0.005248,0.047458,0.000608,0.013440,0.000352,0.001472,0.182215,0.001056,0.896771
0.415376,0.017473,0.219752,0.005217,0.047298,0.000608,0.013440,0.000352,0.001440,0.168167,0.000864,0.898723
0.415217,0.017312,0.203368,0.004865,0.046977,0.000576,0.013505,0.000384,0.001440,0.178759,0.000704,0.891139
0.415824,0.017377,0.202087,0.005280,0.046818,0.000608,0.013376,0.000384,0.001440,0.176519,0.001088,0.888834
0.414704,0.017281,0.202120,0.005248,0.046978,0.000640,0.013472,0.000352,0.001504,0.181224,0.000864,0.892899
0.434033,0.017472,0.202632,0.005280,0.046914,0.000608,0.013441,0.000384,0.001504,0.184263,0.001024,0.916260
0.416144,0.017249,0.202216,0.004992,0.046946,0.000608,0.013664,0.000384,0.001440,0.186024,0.001088,0.898787
0.416688,0.017473,0.202024,0.005184,0.048898,0.000544,0.013568,0.000352,0.001472,0.174663,0.000960,0.890114
0.415632,0.017313,0.219369,0.005216,0.048290,0.000640,0.013440,0.000384,0.001537,0.193351,0.001056,0.924836
0.416976,0.017409,0.203496,0.005184,0.047586,0.000608,0.013600,0.000384,0.001568,0.178279,0.000768,0.894883
0.416272,0.017569,0.202888,0.005024,0.047682,0.000608,0.013601,0.000352,0.001504,0.177415,0.000864,0.892067
0.417424,0.017825,0.203048,0.004800,0.048130,0.000544,0.013537,0.000352,0.001472,0.178727,0.000800,0.894531
0.433617,0.017793,0.202344,0.005248,0.048962,0.000576,0.013760,0.000384,0.001536,0.174567,0.000672,0.907683
0.415824,0.017377,0.202184,0.005280,0.049314,0.000608,0.013537,0.000416,0.001536,0.182215,0.001024,0.898019
0.416752,0.017729,0.202408,0.004800,0.048002,0.000608,0.013665,0.000352,0.001472,0.185159,0.001024,0.900899
0.416112,0.017825,0.220009,0.005184,0.049154,0.000640,0.013664,0.000384,0.001536,0.182088,0.000832,0.917220
0.416400,0.017665,0.202504,0.005024,0.048706,0.000576,0.013601,0.000384,0.001504,0.167494,0.000768,0.882467
0.416081,0.018080,0.202472,0.004801,0.049281,0.000576,0.014208,0.000384,0.001472,0.172455,0.000928,0.888835
