Layer[0],Layer[1],TEE[2-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.419152,0.017632,0.743294,0.000640,0.001952,0.001120,0.000384,1.191055
0.421393,0.017473,0.769918,0.000736,0.002880,0.001216,0.000417,1.221425
0.415632,0.017441,0.738685,0.000608,0.002112,0.001120,0.000384,1.182894
0.415281,0.017664,0.738781,0.000672,0.001920,0.001056,0.000352,1.182671
0.419633,0.017633,0.751773,0.000960,0.003169,0.001152,0.000384,1.201840
0.415504,0.017792,0.739325,0.000641,0.002112,0.001120,0.000320,1.183855
0.419921,0.017921,0.739325,0.000704,0.002016,0.001088,0.000416,1.187887
0.448754,0.017793,0.743709,0.000672,0.002337,0.001120,0.000384,1.221425
0.417073,0.017696,0.734877,0.000672,0.002689,0.001184,0.000352,1.181007
0.415121,0.017473,0.742749,0.000640,0.002688,0.001216,0.000384,1.185871
0.420625,0.017217,0.740829,0.000672,0.002272,0.001056,0.000416,1.189135
0.416144,0.017473,0.752190,0.000640,0.002816,0.001248,0.000416,1.198607
0.420305,0.017761,0.755934,0.000672,0.002112,0.001152,0.000320,1.205424
0.417393,0.018305,0.731004,0.000672,0.002017,0.001024,0.000352,1.177071
0.416817,0.017696,0.727549,0.000672,0.002016,0.001152,0.000384,1.172398
0.420624,0.017377,0.759902,0.000704,0.002752,0.001152,0.000320,1.210223
0.416048,0.017473,0.738557,0.000704,0.002112,0.001088,0.000384,1.183022
0.419760,0.017601,0.737181,0.000640,0.002464,0.001024,0.000352,1.184814
0.415441,0.017472,0.771007,0.000672,0.002240,0.001120,0.000352,1.214224
0.416209,0.017345,0.741373,0.000672,0.001984,0.001184,0.000352,1.185423
0.419856,0.017249,0.721565,0.000608,0.002080,0.001056,0.000352,1.169006
0.436978,0.017600,0.748926,0.000640,0.002112,0.001088,0.000384,1.216656
0.419856,0.017344,0.738525,0.000640,0.002081,0.001152,0.000384,1.186607
0.416849,0.017345,0.743613,0.000672,0.002208,0.001152,0.000352,1.189391
0.420465,0.017537,0.739389,0.000672,0.002016,0.001120,0.000480,1.188847
0.416305,0.017376,0.728733,0.000608,0.002176,0.001088,0.000384,1.174446
0.415632,0.017569,0.756190,0.000704,0.002144,0.001120,0.000352,1.201359
0.416080,0.017665,0.728317,0.000704,0.002944,0.001248,0.000352,1.174286
0.415633,0.017504,0.748830,0.000736,0.002176,0.001248,0.000384,1.194063
0.415696,0.017505,0.752766,0.000640,0.002528,0.001184,0.000384,1.198063
0.415825,0.017313,0.743165,0.000640,0.002880,0.001184,0.000352,1.188655
0.415824,0.017505,0.749790,0.000736,0.002624,0.001120,0.000416,1.195663
0.446769,0.017440,0.731421,0.000672,0.002208,0.001024,0.000320,1.205903
0.420720,0.017665,0.744573,0.000640,0.002368,0.001280,0.000352,1.195279
0.420945,0.017793,0.743549,0.000736,0.002720,0.001184,0.000352,1.192847
0.436594,0.017824,0.742910,0.000608,0.002272,0.001088,0.000416,1.208048
0.419729,0.017729,0.740605,0.000640,0.002144,0.001152,0.000384,1.188783
0.415056,0.017697,0.742909,0.000672,0.002112,0.001120,0.000352,1.186479
0.415184,0.017472,0.744574,0.000736,0.001952,0.001120,0.000448,1.187887
0.419409,0.017376,0.745086,0.000736,0.002144,0.001056,0.000352,1.192399
0.416273,0.017473,0.746365,0.000704,0.002432,0.001056,0.000320,1.190671
0.420496,0.017921,0.733469,0.000768,0.002080,0.000992,0.000352,1.182862
0.416528,0.017345,0.755262,0.000768,0.002048,0.000992,0.000320,1.200431
0.416337,0.017472,0.754493,0.000672,0.002944,0.001184,0.000352,1.201296
0.416080,0.018241,0.737821,0.000704,0.002048,0.001088,0.000320,1.183214
0.420720,0.017280,0.730333,0.000640,0.002304,0.001184,0.000384,1.180270
0.436145,0.017505,0.731133,0.000736,0.002048,0.001088,0.000416,1.195919
0.415089,0.017344,0.730173,0.000672,0.002432,0.000992,0.000352,1.173262
0.420560,0.017473,0.742077,0.000640,0.002657,0.000992,0.000384,1.190895
0.415633,0.017408,0.745758,0.000640,0.001984,0.000896,0.000352,1.188367
0.415601,0.017569,0.743485,0.001024,0.002688,0.001088,0.000416,1.188815
0.416144,0.017601,0.758686,0.000704,0.002816,0.001088,0.000352,1.205583
0.420880,0.017281,0.740349,0.000672,0.002048,0.001057,0.000384,1.189135
0.415504,0.017377,0.740605,0.000928,0.002688,0.001120,0.000384,1.185230
0.420912,0.017312,0.779327,0.000736,0.002112,0.001056,0.000384,1.229488
0.420369,0.017600,0.744798,0.000640,0.002080,0.001088,0.000384,1.194031
0.420305,0.017761,0.739581,0.000608,0.001888,0.001056,0.000352,1.188879
0.416176,0.017345,0.757950,0.000672,0.002816,0.001216,0.000416,1.204463
0.419985,0.017761,0.737725,0.000672,0.002112,0.001152,0.000416,1.186543
0.415409,0.017601,0.731997,0.000640,0.002144,0.001216,0.000384,1.176271
0.433425,0.017601,0.732829,0.000640,0.002080,0.001088,0.000416,1.195887
0.420944,0.017953,0.726845,0.000608,0.002304,0.001120,0.000384,1.176974
0.420721,0.017665,0.726908,0.000768,0.002880,0.001152,0.000384,1.176943
0.415664,0.017473,0.743965,0.000672,0.002016,0.001088,0.000384,1.187086
0.420752,0.017697,0.744765,0.000641,0.001984,0.000992,0.000352,1.194127
0.421553,0.017728,0.768958,0.000672,0.002496,0.001120,0.000352,1.220688
0.414865,0.017665,0.742109,0.000640,0.002240,0.001152,0.000352,1.185903
0.416144,0.017697,0.728733,0.000608,0.001984,0.001056,0.000288,1.174030
0.420016,0.017760,0.750782,0.000736,0.002624,0.001120,0.000384,1.200335
0.420145,0.017697,0.744221,0.000704,0.002752,0.001152,0.000352,1.194832
0.421424,0.017985,0.732253,0.000704,0.002816,0.001088,0.000352,1.184590
0.420176,0.034338,0.751901,0.000672,0.002688,0.001184,0.000417,1.218000
0.419792,0.017569,0.750462,0.000640,0.002816,0.001184,0.000416,1.199759
0.462354,0.017793,0.739677,0.000704,0.002113,0.001088,0.000288,1.229777
0.430929,0.017824,0.749438,0.000640,0.002112,0.001088,0.000352,1.209711
0.420017,0.017569,0.725308,0.000672,0.002304,0.001120,0.000352,1.173711
0.415953,0.017665,0.752477,0.000704,0.002016,0.001216,0.032161,1.230481
0.421073,0.017697,0.744445,0.000672,0.002048,0.001120,0.000320,1.194447
0.420432,0.017697,0.736477,0.000640,0.002656,0.001152,0.000352,1.186446
0.415888,0.017729,0.767774,0.000960,0.002368,0.001120,0.000384,1.213327
