label,mean,max,min,std,count
TEE[292],7.681199382000001,7.768712,7.634563000000001,0.026558602162744093,1000
REE[292],3.9066605049999996,5.157071,3.8850599999999997,0.04323276550850627,1000
REE[293],3.928506552,4.473848,3.913253,0.02113590980044126,1000
TEE[293],7.745701059999999,7.823914,7.72215,0.015245863714555587,1000
REE[294],3.9550030379999996,5.247795,3.936582,0.04422216763188592,1000
TEE[294],7.781470226000001,7.867819,7.7357830000000005,0.027952146178440485,1000
TEE[295],7.881135324000001,7.959791,7.830858,0.026619964669624126,1000
REE[295],3.985231363,5.274132,3.968295,0.05559736598352062,1000
TEE[296],7.8694062570000005,8.400414,7.8382830000000006,0.04016273141208686,1000
REE[296],4.015748181,5.221425,3.9938309999999997,0.052967726847748114,1000
TEE[297],7.975484847,8.076914,7.932461999999999,0.02810605291951017,1000
REE[297],4.035502575000001,4.59286,4.019465,0.022552782850474924,1000
TEE[298],7.990949431,8.089011,7.944142,0.027779332501618438,1000
REE[298],4.064933926,4.6304300000000005,4.0461529999999994,0.024572828441596712,1000
REE[299],4.092296999,4.670623,4.073482,0.023120871872815647,1000
TEE[299],8.069652902,8.155446000000001,8.04293,0.017154443405221254,1000
TEE[300],8.0869535,8.190678,8.05605,0.01569396907647563,1000
REE[300],4.123114893,4.714144999999999,4.107819999999999,0.025792102534044722,1000
TEE[301],8.181417678999999,8.281017,8.154293,0.019874981888168202,1000
REE[301],4.148231744,4.752097,4.1311480000000005,0.025909534954955224,1000
TEE[302],8.207868733,8.343067,8.156564999999999,0.029781253689141557,1000
REE[302],4.1749387769999995,4.786755,4.159789,0.024548624820381358,1000
TEE[303],8.311546117999999,8.403806,8.260697,0.029959329328272267,1000
REE[303],4.204247359999999,5.570973,4.1848790000000005,0.05879825067042643,1000
REE[304],4.234846995,4.943528,4.216558999999999,0.027097689117163943,1000
TEE[304],8.296068535,8.370557000000002,8.271385,0.018646267620651528,1000
TEE[305],8.393979863,8.456736,8.367901,0.013559042770678507,1000
REE[305],4.259995024,4.89479,4.2440169999999995,0.0277784980285138,1000
REE[306],4.287670737,4.968905,4.272465,0.028990876818277223,1000
TEE[306],8.406401334,8.486625,8.378172,0.01336026791824518,1000
REE[307],4.316336797,5.001514,4.300658,0.02945833945243836,1000
TEE[307],8.541402063,8.636485,8.483039999999999,0.03052954911908209,1000
TEE[308],8.517409915999998,8.59994,8.492577,0.017609935641797577,1000
REE[308],4.347803712000001,5.068364,4.332819000000001,0.030472385903629457,1000
REE[309],4.372259772,5.060876,4.356372,0.03009796693678402,1000
TEE[309],8.621575177,9.155415,8.590084,0.02876719817090772,1000
REE[310],4.4019684450000005,5.850727,4.380789,0.05068668264748425,1000
TEE[310],8.645095230999999,8.72788,8.601636,0.02971832787034039,1000
REE[311],4.430161878,5.125486,4.414326,0.030422231744917358,1000
TEE[311],8.727654060999999,8.824268,8.6922,0.018485075801810438,1000
TEE[312],8.745160678,8.871628999999999,8.708328,0.025970423736423047,1000
REE[312],4.463787173,5.906536,4.4448870000000005,0.050908576750365156,1000
REE[313],4.490120044,5.9907,4.4712559999999995,0.05251042244462883,1000
TEE[313],8.844212797,8.908014999999999,8.81502,0.015325385415705911,1000
TEE[314],8.851129019,8.930959,8.819596,0.015046651042948018,1000
REE[314],4.519600783,5.9404580000000005,4.494296,0.050583270116923366,1000
REE[315],4.543681432,5.303316000000001,4.525306,0.03338089362972321,1000
TEE[315],8.953012836,9.063732,8.930672,0.018360049447940893,1000
REE[316],4.580100688000001,5.305556,4.559675,0.03185858860622418,1000
